Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Quim,pt POR,GK,33,30,30,2700,30,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,3e754736
David Luiz,br BRA,DFMF,22,29,29,2610,29,3,2,5,3,0,0,8,0,0.1,0.07,0.17,0.1,0.17,Matches,c0e27d1a
Luisão,br BRA,DF,28,28,28,2520,28,4,1,5,4,0,0,7,0,0.14,0.04,0.18,0.14,0.18,Matches,60a93897
Óscar Cardozo,py PAR,FW,26,29,28,2403,26.7,26,6,32,20,6,10,4,1,0.97,0.22,1.2,0.75,0.97,Matches,b1a5c0ed
Ángel Di María,ar ARG,FWMF,21,26,26,2249,25,5,11,16,5,0,0,9,1,0.2,0.44,0.64,0.2,0.64,Matches,19cda00b
Javi García,es ESP,DFMF,22,26,26,2218,24.6,3,2,5,3,0,0,9,0,0.12,0.08,0.2,0.12,0.2,Matches,167c1bb0
Javier Saviola,ar ARG,FW,27,27,26,2058,22.9,11,4,15,11,0,0,4,0,0.48,0.17,0.66,0.48,0.66,Matches,de544fdb
Ramires,br BRA,MF,22,26,23,1945,21.6,4,3,7,4,0,0,2,0,0.19,0.14,0.32,0.19,0.32,Matches,4cce2c67
Maxi Pereira,uy URU,DF,25,25,21,1954,21.7,2,4,6,2,0,0,9,0,0.09,0.18,0.28,0.09,0.28,Matches,6e592fa4
Pablo Aimar,ar ARG,MF,29,25,21,1669,18.5,4,8,12,4,0,0,3,0,0.22,0.43,0.65,0.22,0.65,Matches,ab6c00d3
Fábio Coentrão,pt POR,DF,21,26,18,1817,20.2,0,6,6,0,0,0,10,0,0,0.3,0.3,0,0.3,Matches,0f8bd0a6
Rúben Amorim,pt POR,MF,24,24,14,1374,15.3,3,0,3,3,0,0,4,0,0.2,0,0.2,0.2,0.2,Matches,a9dfa7ad
Carlos Martins,pt POR,MF,27,17,11,861,9.6,3,2,5,3,0,0,3,1,0.31,0.21,0.52,0.31,0.52,Matches,23cfa96c
César Peixoto,pt POR,DFMF,29,15,10,918,10.2,0,2,2,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches,c53991c5
José Shaffer,ar ARG,DF,23,4,4,333,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,38930077
Weldon,br BRA,FW,28,12,3,408,4.5,5,0,5,5,0,0,0,0,1.1,0,1.1,1.1,1.1,Matches,bb776e99
Sidnei,br BRA,DF,19,5,3,258,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b14d0c5d
Airton,br BRA,DFMF,19,4,3,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,00dee972
Éder Luís,br BRA,FWMF,24,6,2,215,2.4,1,0,1,1,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches,d1fbcdea
Nuno Gomes,pt POR,FW,33,13,1,222,2.5,3,0,3,3,0,0,0,0,1.22,0,1.22,1.22,1.22,Matches,ca5beb0d
Keirrison,br BRA,FW,20,5,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d75907b8
Miguel Vítor,il ISR,DF,20,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,15b949ab
Jonathan Urretaviscaya,uy URU,FWMF,19,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6465d159
Felipe Menezes,br BRA,MF,21,5,0,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a70b77f1
Alan Kardec,br BRA,FW,20,8,0,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e7fba767
Luís Filipe,pt POR,DFMF,30,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,af94a351
