Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Roberto,es ESP,GK,24,25,24,2227,24.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,ba3ca78f
Javi García,es ESP,DFMF,23,24,24,2088,23.2,2,1,3,2,0,0,8,1,0.09,0.04,0.13,0.09,0.13,Matches,167c1bb0
Javier Saviola,ar ARG,FW,28,24,24,1858,20.6,9,8,17,8,1,1,2,0,0.44,0.39,0.82,0.39,0.78,Matches,de544fdb
Fábio Coentrão,pt POR,DF,22,23,23,2068,23,2,3,5,2,0,0,7,2,0.09,0.13,0.22,0.09,0.22,Matches,0f8bd0a6
Maxi Pereira,uy URU,DF,26,26,23,2044,22.7,0,3,3,0,0,0,11,0,0,0.13,0.13,0,0.13,Matches,6e592fa4
Luisão,br BRA,DF,29,23,23,2030,22.6,1,1,2,1,0,0,6,2,0.04,0.04,0.09,0.04,0.09,Matches,60a93897
Nicolás Gaitán,ar ARG,MF,22,26,23,1956,21.7,7,4,11,7,0,0,2,0,0.32,0.18,0.51,0.32,0.51,Matches,7ebfac0f
Pablo Aimar,ar ARG,MF,30,23,21,1650,18.3,5,6,11,5,0,0,5,0,0.27,0.33,0.6,0.27,0.6,Matches,ab6c00d3
Óscar Cardozo,py PAR,FW,27,22,20,1777,19.7,12,4,16,11,1,2,2,1,0.61,0.2,0.81,0.56,0.76,Matches,b1a5c0ed
David Luiz,br BRA,DFMF,23,16,16,1440,16,0,1,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches,c0e27d1a
Carlos Martins,pt POR,MF,28,25,14,1278,14.2,3,1,4,3,0,0,7,0,0.21,0.07,0.28,0.21,0.28,Matches,23cfa96c
Sidnei,br BRA,DF,20,16,14,1189,13.2,3,1,4,3,0,0,1,1,0.23,0.08,0.3,0.23,0.3,Matches,b14d0c5d
Eduardo Salvio,ar ARG,FWMF,20,19,12,1166,13,4,3,7,4,0,0,4,0,0.31,0.23,0.54,0.31,0.54,Matches,5f424f35
Franco Jara,ar ARG,FW,22,25,9,1013,11.3,6,1,7,6,0,0,3,0,0.53,0.09,0.62,0.53,0.62,Matches,413cce14
César Peixoto,pt POR,DFMF,30,16,9,899,10,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,c53991c5
Alan Kardec,br BRA,FW,21,12,9,812,9,3,0,3,2,1,1,1,0,0.33,0,0.33,0.22,0.22,Matches,e7fba767
Airton,br BRA,DFMF,20,15,7,756,8.4,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,00dee972
Rúben Amorim,pt POR,MF,25,11,6,675,7.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,a9dfa7ad
Lionel Carole,fr FRA,DFMF,19,6,6,491,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5b5724d2
Jardel,br BRA,DF,24,8,5,487,5.4,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches,ce9e8024
Roderick Miranda,pt POR,DF,19,5,4,380,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,390ab439
Felipe Menezes,br BRA,MF,22,7,4,295,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,a70b77f1
Júlio César,br BRA,GK,23,4,4,292,3.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches,f4213f59
Luís Filipe,pt POR,DFMF,31,3,3,245,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,af94a351
José Moreira,pt POR,GK,28,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bf78a0bd
José Luis Fernández,ar ARG,MF,22,2,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ba9c88c6
Nuno Gomes,pt POR,FW,34,5,0,57,0.6,4,0,4,4,0,0,0,0,6.32,0,6.32,6.32,6.32,Matches,ca5beb0d
Weldon,br BRA,FW,29,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bb776e99
