club_name,player_name,age,position,club_involved_name,fee,transfer_period,fee_cleaned,league_name,year
SL Benfica,Konstantinos Mitroglou,29.0,Centre-Forward,Marseille,€15.00m,Summer,15000000.0,Liga Nos,2017
SL Benfica,Guillermo Celis,24.0,Defensive Midfield,Vit. Guimarães,€1.75m,Summer,1750000.0,Liga Nos,2017
SL Benfica,Hany Mukhtar,22.0,Attacking Midfield,Bröndby IF,€1.50m,Summer,1500000.0,Liga Nos,2017
SL Benfica,João Carvalho,21.0,Attacking Midfield,Nottm Forest,€15.00m,Summer,15000000.0,Liga Nos,2018
SL Benfica,Bryan Cristante,23.0,Defensive Midfield,Atalanta BC,€9.50m,Summer,9500000.0,Liga Nos,2018
SL Benfica,André Horta,21.0,Central Midfield,LAFC,€5.70m,Summer,5700000.0,Liga Nos,2018
SL Benfica,Talisca,24.0,Attacking Midfield,GZ Evergrande,€19.20m,Winter,19200000.0,Liga Nos,2018
SL Benfica,Nicolás Castillo,25.0,Centre-Forward,América,€7.13m,Winter,7130000.0,Liga Nos,2018
SL Benfica,João Félix,19.0,Second Striker,Atlético Madrid,€127.20m,Summer,127200000.0,Liga Nos,2019
SL Benfica,Raúl Jiménez,28.0,Centre-Forward,Wolves,€38.00m,Summer,38000000.0,Liga Nos,2019
SL Benfica,Luka Jović,21.0,Centre-Forward,E. Frankfurt,€22.34m,Summer,22340000.0,Liga Nos,2019
SL Benfica,André Carrillo,28.0,Right Winger,Al-Hilal SFC,€9.50m,Summer,9500000.0,Liga Nos,2019
SL Benfica,Eduardo Salvio,29.0,Right Winger,Boca Juniors,€7.00m,Summer,7000000.0,Liga Nos,2019
SL Benfica,Pawel Dawidowicz,24.0,Centre-Back,Hellas Verona,€3.50m,Summer,3500000.0,Liga Nos,2019
SL Benfica,Raúl de Tomás,25.0,Centre-Forward,Espanyol,€22.50m,Winter,22500000.0,Liga Nos,2019
SL Benfica,Lisandro López,30.0,Centre-Back,Boca Juniors,€3.00m,Winter,3000000.0,Liga Nos,2019
SL Benfica,Rúben Dias,23.0,Centre-Back,Man City,€68.00m,Summer,68000000.0,Liga Nos,2020
SL Benfica,Cristian Lema,30.0,Centre-Back,Damac FC,€2.00m,Summer,2000000.0,Liga Nos,2020
SL Benfica,Ivan Zlobin,23.0,Goalkeeper,Famalicão,€1.00m,Summer,1000000.0,Liga Nos,2020
SL Benfica,Pedrinho,23.0,Right Winger,Shakhtar D.,€18.00m,Summer,18000000.0,Liga Nos,2021
SL Benfica,Luca Waldschmidt,25.0,Second Striker,VfL Wolfsburg,€12.00m,Summer,12000000.0,Liga Nos,2021
SL Benfica,Nuno Tavares,21.0,Left-Back,Arsenal,€8.00m,Summer,8000000.0,Liga Nos,2021
SL Benfica,Franco Cervi,27.0,Left Winger,Celta de Vigo,€4.00m,Summer,4000000.0,Liga Nos,2021
SL Benfica,Caio Lucas,27.0,Left Midfield,Sharjah FC,€2.00m,Summer,2000000.0,Liga Nos,2021
SL Benfica,Filip Krovinovic,25.0,Attacking Midfield,Hajduk Split,€1.50m,Summer,1500000.0,Liga Nos,2021
SL Benfica,Alfa Semedo,23.0,Defensive Midfield,Vit. Guimarães,€1.50m,Summer,1500000.0,Liga Nos,2021
SL Benfica,Darwin Núñez,23.0,Centre-Forward,Liverpool,€75.00m,summer,75000000.0,Liga Nos,2022
SL Benfica,Roman Yaremchuk,26.0,Centre-Forward,Club Brugge,€16.00m,summer,16000000.0,Liga Nos,2022
SL Benfica,Éverton,26.0,Left Winger,Flamengo,€13.50m,summer,13500000.0,Liga Nos,2022
SL Benfica,Jota,23.0,Left Winger,Celtic,€7.30m,summer,7300000.0,Liga Nos,2022
SL Benfica,Gedson Fernandes,23.0,Central Midfield,Besiktas,€6.00m,summer,6000000.0,Liga Nos,2022
SL Benfica,Carlos Vinícius,27.0,Centre-Forward,Fulham,€5.00m,summer,5000000.0,Liga Nos,2022
SL Benfica,Pedro Pereira,24.0,Right-Back,Monza,€2.50m,summer,2500000.0,Liga Nos,2022
SL Benfica,Nuno Santos,23.0,Attacking Midfield,Charlotte,€1.00m,summer,1000000.0,Liga Nos,2022
