Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Artur Moraes,br BRA,GK,31,30,30,2700,30,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,25012505
Eduardo Salvio,ar ARG,FWMF,22,29,29,2449,27.2,10,7,17,10,0,0,0,0,0.37,0.26,0.62,0.37,0.62,Matches,5f424f35
Maxi Pereira,uy URU,DF,28,28,28,2514,27.9,3,4,7,3,0,0,8,0,0.11,0.14,0.25,0.11,0.25,Matches,6e592fa4
Ezequiel Garay,ar ARG,DF,25,27,27,2430,27,1,0,1,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches,ac3fb1be
Nemanja Matić,rs SRB,MF,23,26,25,2244,24.9,3,0,3,3,0,0,8,1,0.12,0,0.12,0.12,0.12,Matches,eb7822d7
Enzo Pérez,ar ARG,MF,26,28,25,2007,22.3,4,5,9,4,0,0,5,1,0.18,0.22,0.4,0.18,0.4,Matches,6d27cfc2
Lima,br BRA,FW,29,27,24,2139,23.8,20,5,25,17,3,3,1,0,0.84,0.21,1.05,0.72,0.93,Matches,deb26e4c
Lorenzo Melgarejo,py PAR,DFFW,21,21,21,1870,20.8,2,3,5,2,0,0,4,1,0.1,0.14,0.24,0.1,0.24,Matches,f346787e
Óscar Cardozo,py PAR,FW,29,25,20,1738,19.3,17,4,21,9,8,8,5,1,0.88,0.21,1.09,0.47,0.67,Matches,b1a5c0ed
Luisão,br BRA,DF,31,18,18,1619,18,1,2,3,1,0,0,3,0,0.06,0.11,0.17,0.06,0.17,Matches,60a93897
Jardel,br BRA,DF,26,16,15,1351,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ce9e8024
Ola John,nl NED,FWMF,20,22,15,1259,14,0,5,5,0,0,0,0,0,0,0.36,0.36,0,0.36,Matches,82b2a290
Rodrigo,es ESP,FWMF,21,20,14,1049,11.7,7,1,8,7,0,1,3,0,0.6,0.09,0.69,0.6,0.69,Matches,1fb1c435
Nicolás Gaitán,ar ARG,MF,24,23,11,1174,13,3,8,11,3,0,0,3,0,0.23,0.61,0.84,0.23,0.84,Matches,7ebfac0f
André Almeida,pt POR,DFMF,21,14,7,667,7.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,67b3d74b
Luisinho,pt POR,DF,27,5,5,450,5,1,0,1,1,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches,a7f00c8c
André Gomes,pt POR,MF,19,7,4,364,4,1,0,1,1,0,0,2,1,0.25,0,0.25,0.25,0.25,Matches,1961b2aa
Carlos Martins,pt POR,MF,30,13,3,420,4.7,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches,23cfa96c
Axel Witsel,be BEL,DFMF,23,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5dfc6ad5
Bruno César,br BRA,FWMF,23,6,2,223,2.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,f0faccb9
Javi García,es ESP,DFMF,25,2,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,167c1bb0
Nolito,es ESP,FWMF,25,6,1,188,2.1,1,0,1,1,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches,b2d0ec1b
Jonathan Urretaviscaya,uy URU,FWMF,22,4,1,89,1,1,0,1,1,0,0,0,0,1.01,0,1.01,1.01,1.01,Matches,6465d159
Pablo Aimar,ar ARG,MF,32,13,0,225,2.5,0,3,3,0,0,0,0,0,0,1.2,1.2,0,1.2,Matches,ab6c00d3
Alan Kardec,br BRA,FW,23,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e7fba767
Roderick Miranda,pt POR,DF,21,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,390ab439
Miguel Vítor,il ISR,DF,23,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,15b949ab
