Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Artur Moraes,br BRA,GK,30,29,29,2610,29,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,25012505
Óscar Cardozo,py PAR,FW,28,29,29,2474,27.5,20,4,24,15,5,7,5,2,0.73,0.15,0.87,0.55,0.69,Matches,b1a5c0ed
Luisão,br BRA,DF,30,25,25,2250,25,1,0,1,1,0,0,8,1,0.04,0,0.04,0.04,0.04,Matches,60a93897
Maxi Pereira,uy URU,DF,27,25,25,2244,24.9,0,2,2,0,0,0,11,0,0,0.08,0.08,0,0.08,Matches,6e592fa4
Axel Witsel,be BEL,DFMF,22,29,24,2281,25.3,1,3,4,0,1,1,5,0,0.04,0.12,0.16,0,0.12,Matches,5dfc6ad5
Ezequiel Garay,ar ARG,DF,24,24,24,2140,23.8,2,0,2,2,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches,ac3fb1be
Emerson,br BRA,DF,25,24,23,2093,23.3,0,1,1,0,0,0,6,1,0,0.04,0.04,0,0.04,Matches,cb52817d
Javi García,es ESP,DFMF,24,22,19,1697,18.9,1,0,1,1,0,0,9,0,0.05,0,0.05,0.05,0.05,Matches,167c1bb0
Bruno César,br BRA,FWMF,22,26,19,1648,18.3,9,2,11,9,0,0,6,0,0.49,0.11,0.6,0.49,0.6,Matches,f0faccb9
Pablo Aimar,ar ARG,MF,31,24,19,1412,15.7,2,9,11,2,0,0,3,1,0.13,0.57,0.7,0.13,0.7,Matches,ab6c00d3
Nolito,es ESP,FWMF,24,29,18,1624,18,11,7,18,11,0,0,5,0,0.61,0.39,1,0.61,1,Matches,b2d0ec1b
Nicolás Gaitán,ar ARG,MF,23,25,18,1550,17.2,3,7,10,3,0,0,1,0,0.17,0.41,0.58,0.17,0.58,Matches,7ebfac0f
Rodrigo,es ESP,FWMF,20,22,11,1136,12.6,9,2,11,9,0,0,1,0,0.71,0.16,0.87,0.71,0.87,Matches,1fb1c435
Nemanja Matić,rs SRB,MF,22,16,11,862,9.6,1,0,1,1,0,0,6,0,0.1,0,0.1,0.1,0.1,Matches,eb7822d7
Jardel,br BRA,DF,25,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ce9e8024
Javier Saviola,ar ARG,FW,29,18,10,819,9.1,4,5,9,4,0,0,2,0,0.44,0.55,0.99,0.44,0.99,Matches,de544fdb
Joan Capdevila,es ESP,DF,33,5,5,450,5,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches,69697a6d
Rúben Amorim,pt POR,MF,26,6,3,292,3.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,a9dfa7ad
Nélson Oliveira,pt POR,FW,19,12,2,396,4.4,0,2,2,0,0,0,3,0,0,0.45,0.45,0,0.45,Matches,f716e4e4
Luís Martins,pt POR,DF,19,4,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,56b7c09b
Yannick Djaló,pt POR,FWMF,25,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5c1ac072
Miguel Vítor,il ISR,DF,22,3,1,125,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,15b949ab
Eduardo Carvalho,pt POR,GK,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,81b906e7
Franco Jara,ar ARG,FW,23,1,1,90,1,0,1,1,0,0,0,0,0,0,1,1,0,1,Matches,413cce14
André Almeida,pt POR,DFMF,20,3,0,67,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,67b3d74b
Enzo Pérez,ar ARG,MF,25,3,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6d27cfc2
Rodrigo Mora,uy URU,FW,23,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,01afa225
