Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
André Almeida,pt POR,DF,26,31,31,2697,30,2,7,9,2,0,0,7,0,0.07,0.23,0.3,0.07,0.3,Matches,67b3d74b
Pizzi,pt POR,MF,27,33,31,2654,29.5,6,6,12,6,0,0,5,0,0.2,0.2,0.41,0.2,0.41,Matches,96094cbc
Bruno Varela,pt POR,GK,22,29,29,2610,29,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2bea06e0
Jonas,br BRA,FW,33,30,29,2449,27.2,34,8,42,26,8,10,2,0,1.25,0.29,1.54,0.96,1.25,Matches,9bcd6455
Franco Cervi,ar ARG,MFFW,23,31,29,2366,26.3,3,7,10,3,0,0,1,0,0.11,0.27,0.38,0.11,0.38,Matches,5e1028e5
Álex Grimaldo,es ESP,DF,21,28,28,2431,27,1,5,6,1,0,0,4,0,0.04,0.19,0.22,0.04,0.22,Matches,b1f4086c
Ljubomir Fejsa,rs SRB,MF,28,28,28,2396,26.6,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches,874d7a32
Jardel,br BRA,DF,31,26,26,2264,25.2,2,3,5,2,0,0,5,0,0.08,0.12,0.2,0.08,0.2,Matches,ce9e8024
Rúben Dias,pt POR,DF,20,24,24,2149,23.9,3,0,3,3,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches,31c69ef1
Eduardo Salvio,ar ARG,MFFW,27,26,19,1596,17.7,9,4,13,9,0,0,4,0,0.51,0.23,0.73,0.51,0.73,Matches,5f424f35
Andrija Živković,rs SRB,MF,21,21,17,1546,17.2,3,4,7,3,0,0,5,2,0.17,0.23,0.41,0.17,0.41,Matches,321f83a2
Luisão,br BRA,DF,36,16,16,1440,16,1,0,1,1,0,0,5,0,0.06,0,0.06,0.06,0.06,Matches,60a93897
Rafa Silva,pt POR,MFFW,24,20,13,1216,13.5,3,4,7,3,0,0,0,0,0.22,0.3,0.52,0.22,0.52,Matches,70cf63ca
Filip Krovinović,hr CRO,MF,21,13,9,856,9.5,1,1,2,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,Matches,c2dfedeb
Haris Seferović,ch SUI,FW,25,20,9,836,9.3,4,2,6,4,0,0,1,0,0.43,0.22,0.65,0.43,0.65,Matches,a45eac1f
Raúl Jiménez,mx MEX,FW,26,33,6,1004,11.2,6,5,11,5,1,1,3,0,0.54,0.45,0.99,0.45,0.9,Matches,b561db50
Eliseu,pt POR,DF,33,6,6,521,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,981869fc
Filipe Augusto,br BRA,MF,23,8,5,496,5.5,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches,0e34de55
Andreas Samaris,gr GRE,MF,28,18,4,525,5.8,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches,5af687a1
Douglas,br BRA,DF,26,5,3,344,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ee0da7af
Diogo Gonçalves,pt POR,MF,20,7,3,298,3.3,0,1,1,0,0,0,1,0,0,0.3,0.3,0,0.3,Matches,f4b52308
Mile Svilar,rs SRB,GK,17,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,bcf5058a
Lisandro López,ar ARG,DF,27,4,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8320fe65
Júlio César,br BRA,GK,37,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f619413f
João Carvalho,pt POR,MF,20,7,2,172,1.9,0,1,1,0,0,0,0,0,0,0.52,0.52,0,0.52,Matches,36b76751
Keaton Parks,us USA,MF,19,4,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,77986763
Martin Chrien,sk SVK,MF,21,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c4a60418
Gabriel Barbosa,br BRA,FWMF,20,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,72d0e1b6
Paulo Lopes,pt POR,GK,39,0,0,,,,,,,,,,,,,,,,Matches,abd0306c
