Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Quim,pt POR,GK,31,30,30,2639,29.3,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches,3e754736
Rui Costa,pt POR,MF,35,29,27,2382,26.5,5,5,10,5,0,0,6,0,0.19,0.19,0.38,0.19,0.38,Matches,ecf1642b
Kostas Katsouranis,gr GRE,DFMF,28,27,27,2320,25.8,2,1,3,2,0,0,9,0,0.08,0.04,0.12,0.08,0.12,Matches,46ee1669
Léo,br BRA,DF,32,27,26,2323,25.8,0,3,3,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches,0726901e
Óscar Cardozo,py PAR,FW,24,29,24,2283,25.4,13,1,14,10,3,3,2,0,0.51,0.04,0.55,0.39,0.43,Matches,b1a5c0ed
Cristian Rodríguez,uy URU,MF,21,24,22,1940,21.6,6,4,10,6,0,0,3,0,0.28,0.19,0.46,0.28,0.46,Matches,dcd67568
Maxi Pereira,uy URU,DF,23,23,21,1750,19.4,2,2,4,2,0,0,6,0,0.1,0.1,0.21,0.1,0.21,Matches,6e592fa4
Nuno Gomes,pt POR,FW,31,25,20,1570,17.4,7,0,7,6,1,1,2,0,0.4,0,0.4,0.34,0.34,Matches,ca5beb0d
Luisão,br BRA,DF,26,19,19,1687,18.7,3,0,3,3,0,0,6,0,0.16,0,0.16,0.16,0.16,Matches,60a93897
Nélson Marcos,pt POR,DF,24,19,19,1506,16.7,0,1,1,0,0,0,2,1,0,0.06,0.06,0,0.06,Matches,d0d41afb
Petit,pt POR,MF,30,17,16,1407,15.6,1,2,3,1,0,0,5,0,0.06,0.13,0.19,0.06,0.19,Matches,27f6dd2e
Edcarlos,br BRA,DF,22,16,15,1312,14.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,ba652474
Luís Filipe,pt POR,DFMF,28,19,14,1316,14.6,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches,af94a351
Gilles Binya,cm CMR,MF,22,16,14,1221,13.6,0,0,0,0,0,0,8,1,0,0,0,0,0,Matches,1d31b79a
Ángel Di María,ar ARG,FWMF,19,26,13,1410,15.7,0,4,4,0,0,0,5,0,0,0.26,0.26,0,0.26,Matches,19cda00b
Nuno Assis,pt POR,MF,29,17,8,713,7.9,1,0,1,1,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches,2e3d4bcf
David Luiz,br BRA,DFMF,20,8,8,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c0e27d1a
László Sepsi,ro ROU,DF,20,7,2,216,2.4,0,1,1,0,0,0,1,0,0,0.42,0.42,0,0.42,Matches,8bb2be61
José Vitor Rodrigues Ribeiro da Silva,,,,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,-9999
Ariza Makukula,pt POR,FW,26,3,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,62ce8bd7
Fábio Coentrão,pt POR,DF,19,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0f8bd0a6
Marco Zoro,ci CIV,DF,23,2,1,75,0.8,1,0,1,1,0,0,0,0,1.2,0,1.2,1.2,1.2,Matches,d91fb45c
Mantorras,ao ANG,FW,25,9,0,155,1.7,1,0,1,1,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches,b3ec704f
Freddy Adu,us USA,FWMF,18,11,0,143,1.6,2,0,2,2,0,0,1,0,1.26,0,1.26,1.26,1.26,Matches,873c5514
Hans-Jörg Butt,de GER,GK,33,1,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5c6a124a
Gonzalo Bergessio,ar ARG,FW,23,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,da001952
Romeu Ribeiro,pt POR,MF,18,5,0,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,60e56977
Andrés Díaz,ar ARG,MF,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ef292f52
