Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Morato,br BRA,DF,21-278,7,5,483,5.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,6,29,0,0.19,0,0.19,0.19,0.19,0.06,0,0.06,0.06,0.06,Matches,0f41e2ee
Julian Draxler,de GER,MF,29-196,13,4,439,4.9,1,0,1,1,0,0,0,0,1.6,1.6,0.6,2.1,10,36,46,0.21,0,0.21,0.21,0.21,0.33,0.11,0.44,0.33,0.44,Matches,1a992676
Diogo Gonçalves,pt POR,FWMF,26-057,14,2,342,3.8,0,0,0,0,0,0,0,0,1,1,0.9,1.9,22,15,51,0,0,0,0,0,0.27,0.25,0.51,0.27,0.51,Matches,f4b52308
Gonçalo Guedes,pt POR,FW,26-126,7,4,340,3.8,1,1,2,1,0,0,1,0,0.9,0.9,1,2,15,17,44,0.26,0.26,0.53,0.26,0.53,0.25,0.27,0.52,0.25,0.52,Matches,e6bc67d7
Mihailo Ristić,rs SRB,DFMF,27-155,6,1,112,1.2,1,1,2,1,0,0,0,0,0.2,0.2,0.6,0.8,10,4,12,0.8,0.8,1.61,0.8,1.61,0.17,0.5,0.67,0.17,0.67,Matches,ea0aa7e0
João Neves,pt POR,FW,18-189,12,0,80,0.9,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,2,6,3,0,1.13,1.13,0,1.13,0.3,0.13,0.43,0.3,0.43,Matches,c2a15a27
Henrique Araújo,pt POR,FW,21-075,6,0,80,0.9,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1,2,5,13,1.13,0,1.13,1.13,1.13,0.9,0.21,1.11,0.9,1.11,Matches,353eb529
Rodrigo Pinho,br BRA,FW,31-309,4,0,61,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,2,4,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches,5db20508
Julian Weigl,de GER,MF,27-208,2,0,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0.1,0,9,2,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches,346d51d9
Roman Yaremchuk,ua UKR,FW,27-128,2,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,4,0,0,0,0,0,0.24,0.2,0.44,0.24,0.44,Matches,cb641b9d
Lucas Veríssimo,br BRA,DF,27-276,4,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,5eaf85b5
Casper Tengstedt,dk DEN,FW,22-307,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches,ff2fb007
John Brooks,us USA,DF,30-066,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,2.36,2.36,0,2.36,Matches,e27da244
Jan Vertonghen,be BEL,DF,35-345,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ba23a904
Andreas Schjelderup,no NOR,FW,18-307,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a427724f
Cher Ndour,it ITA,MF,18-251,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3b88609d
Helton Leite,br BRA,GK,32-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e8918589
Samuel Soares,pt POR,GK,20-293,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,244ff834
Rafael Rodrigues,pt POR,MF,21-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,01f6298a
André Gomes,pt POR,GK,18-166,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2c41f8ee
Paulo Bernardo,pt POR,MF,21-070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4142f132
João Victor,br BRA,DF,24-261,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d60cf08d
Gil Bastião Dias,pt POR,DFFW,26-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e61bdd69
Leo Brian Kokubo,jp JPN,GK,22-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ac83bce2
