Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Odisseas Vlachodimos,gr GRE,GK,28-343,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,03df04ff
Álex Grimaldo,es ESP,DF,27-196,33,33,2946,32.7,4,11,15,4,0,0,3,0,2.2,2.2,11.7,13.9,80,178,342,0.12,0.34,0.46,0.12,0.46,0.07,0.36,0.42,0.07,0.42,Matches,b1f4086c
Nicolás Otamendi,ar ARG,DF,35-051,32,32,2846,31.6,0,1,1,0,0,0,12,1,1.8,1.8,0.9,2.6,22,138,4,0,0.03,0.03,0,0.03,0.06,0.03,0.08,0.06,0.08,Matches,0d267745
António Silva,pt POR,DF,19-156,31,31,2776,30.8,4,0,4,4,0,0,3,0,4.3,4.1,0.1,4.2,26,123,2,0.13,0,0.13,0.13,0.13,0.14,0,0.14,0.13,0.14,Matches,8f0435c7
João Mário,pt POR,FW,30-075,33,33,2694,29.9,23,8,31,11,12,14,7,1,19.5,8.5,8.9,17.4,77,179,244,0.77,0.27,1.04,0.37,0.63,0.65,0.3,0.95,0.28,0.58,Matches,f0021247
Florentino Luís,pt POR,MF,23-228,34,30,2544,28.3,0,3,3,0,0,0,6,0,1.1,1.1,1.5,2.6,9,171,32,0,0.11,0.11,0,0.11,0.04,0.05,0.09,0.04,0.09,Matches,881cd6be
Alexander Bah,dk DEN,DF,25-116,32,27,2391,26.6,1,5,6,1,0,0,2,0,0.6,0.6,5.4,6,74,158,185,0.04,0.19,0.23,0.04,0.23,0.02,0.2,0.22,0.02,0.22,Matches,78f21137
Gonçalo Ramos,pt POR,FW,21-288,30,30,2236,24.8,20,3,23,20,0,0,6,1,20.2,20.2,2.9,23.1,29,25,117,0.81,0.12,0.93,0.81,0.93,0.81,0.12,0.93,0.81,0.93,Matches,f63cda26
Rafa Silva,pt POR,MFFW,29-322,28,26,2157,24,11,4,15,11,0,0,6,0,12.3,11.5,4.1,15.6,90,111,239,0.46,0.17,0.63,0.46,0.63,0.51,0.17,0.68,0.48,0.65,Matches,70cf63ca
Fredrik Aursnes,no NOR,FWMF,27-115,28,21,1876,20.8,1,2,3,1,0,1,5,0,3.8,3,2.5,5.5,37,163,118,0.05,0.1,0.14,0.05,0.14,0.18,0.12,0.3,0.15,0.27,Matches,f0677ed7
Enzo Fernández,ar ARG,MF,22-077,22,22,1809,20.1,1,6,7,1,0,0,6,0,2.6,2.6,4,6.6,36,215,30,0.05,0.3,0.35,0.05,0.35,0.13,0.2,0.33,0.13,0.33,Matches,5ff4ab71
David Neres,br BRA,FWMF,26-032,30,20,1802,20,9,6,15,9,0,0,3,0,5.2,5.2,6.3,11.5,80,97,188,0.45,0.3,0.75,0.45,0.75,0.26,0.32,0.58,0.26,0.58,Matches,4f1e6a0b
Chiquinho,pt POR,MFFW,27-259,24,10,1111,12.3,0,1,1,0,0,0,0,0,1,1,1.6,2.5,21,115,35,0,0.08,0.08,0,0.08,0.08,0.13,0.21,0.08,0.21,Matches,262e5a82
Gilberto,br BRA,DF,30-028,19,7,664,7.4,2,1,3,2,0,0,2,0,1.1,1.1,2.5,3.6,47,41,85,0.27,0.14,0.41,0.27,0.41,0.15,0.33,0.49,0.15,0.49,Matches,1338e42b
Petar Musa,hr CRO,FW,25-031,26,2,663,7.4,6,2,8,6,0,0,1,0,5.4,5.4,2.1,7.5,10,17,47,0.81,0.27,1.09,0.81,1.09,0.74,0.28,1.02,0.74,1.02,Matches,4567a0b4
