"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Roberto","Goalkeeper",1986-02-10,NA,"Spain",NA,"1.92","right","2013-07-01","Real Zaragoza",NA,5600000,"https://www.transfermarkt.com/roberto/profil/spieler/37403"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","José Moreira","Goalkeeper",1982-03-20,NA,"Portugal",NA,"1.85","right","2001-07-01","SL Benfica B",NA,1700000,"https://www.transfermarkt.com/jose-moreira/profil/spieler/13216"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Júlio César","Goalkeeper",1986-09-02,NA,"Brazil","Without Club","1.91","right","2009-07-01","CF Os Belenenses",NA,1700000,"https://www.transfermarkt.com/julio-cesar/profil/spieler/52647"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","David Luiz","Centre-Back",1987-04-22,NA,"Brazil","CR Flamengo","1.89","right","2007-07-01","Esporte Clube Vitória","2023-12-31",2e+07,"https://www.transfermarkt.com/david-luiz/profil/spieler/46741"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Luisão","Centre-Back",1981-02-13,NA,"Brazil",NA,"1.95","right","2003-08-01","Cruzeiro Esporte Clube",NA,9500000,"https://www.transfermarkt.com/luisao/profil/spieler/13230"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Sidnei","Centre-Back",1989-08-23,NA,"Brazil","UD Las Palmas","1.84","right","2008-07-24","Sport Club Internacional","2023-06-30",4e+06,"https://www.transfermarkt.com/sidnei/profil/spieler/27374"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,2400000,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Fábio Faria","Centre-Back",1989-04-24,NA,"Portugal",NA,"1.89","left","2010-07-01","Rio Ave FC",NA,1e+06,"https://www.transfermarkt.com/fabio-faria/profil/spieler/66419"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Roderick Miranda","Centre-Back",1991-03-30,NA,"Portugal","Melbourne Victory","1.93","right","2010-07-01","SL Benfica U19","2023-06-30",NA,"https://www.transfermarkt.com/roderick-miranda/profil/spieler/87856"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Fábio Coentrão","Left-Back",1988-03-11,NA,"Portugal",NA,"1.79","left","2007-07-01","Rio Ave FC",NA,2.4e+07,"https://www.transfermarkt.com/fabio-coentrao/profil/spieler/33648"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Lionel Carole","Left-Back",1991-04-12,NA,"France","Kayserispor","1.82","left","2011-01-27","FC Nantes","2023-06-30",NA,"https://www.transfermarkt.com/lionel-carole/profil/spieler/11530"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Maximiliano Pereira","Right-Back",1984-06-08,NA,"Uruguay","CA River Plate Montevideo","1.73","right","2007-08-27","Defensor Sporting Club","2023-12-31",9400000,"https://www.transfermarkt.com/maximiliano-pereira/profil/spieler/57834"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Luís Filipe","Right-Back",1979-06-14,NA,"Portugal",NA,"1.79","right","2007-07-01","SC Braga",NA,NA,"https://www.transfermarkt.com/luis-filipe/profil/spieler/14515"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Javi García","Defensive Midfield",1987-02-08,NA,"Spain",NA,"1.87","right","2009-07-21","Real Madrid",NA,9400000,"https://www.transfermarkt.com/javi-garcia/profil/spieler/36350"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Airton","Defensive Midfield",1990-02-21,NA,"Brazil","North Esporte Clube","1.82","right","2010-01-01","CR Flamengo",NA,3500000,"https://www.transfermarkt.com/airton/profil/spieler/72861"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","Rúben Amorim","Central Midfield",1985-01-27,NA,"Portugal",NA,"1.78","right","2008-07-01","CF Os Belenenses",NA,5e+06,"https://www.transfermarkt.com/ruben-amorim/profil/spieler/25101"
"Liga Portugal",NA,"Portugal",2010,"SL Benfica","-","José Luis Fernández","Central Midfield",1987-10-26,NA,"Argentina","Club Atlético Alvarado","1.69","left","2011-01-01","Racing Club","2023-12-31",1300000,"https://www.transfermarkt.com/jose-luis-fernandez/profil/spieler/75407"
