"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","99","Odysseas Vlachodimos","Goalkeeper",1994-04-26,NA,"Greece",NA,"1.91","right","2018-07-01","Panathinaikos Athens","2027-06-30",1.6e+07,"https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","24","Samuel Soares","Goalkeeper",2002-06-15,NA,"Portugal",NA,"1.9","right",NA,NA,"2027-06-30",2e+06,"https://www.transfermarkt.com/samuel-soares/profil/spieler/504072"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","75","André Gomes","Goalkeeper",2004-10-20,NA,"Portugal",NA,"1.82","left",NA,NA,"2028-06-30",2e+06,"https://www.transfermarkt.com/andre-gomes/profil/spieler/670710"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","66","António Silva","Centre-Back",2003-10-30,NA,"Portugal",NA,"1.87","right","2022-07-01","SL Benfica U23","2027-06-30",2.5e+07,"https://www.transfermarkt.com/antonio-silva/profil/spieler/650568"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","91","Morato","Centre-Back",2001-06-30,NA,"Brazil",NA,"1.92","left","2021-07-01","SL Benfica B","2027-06-30",1.5e+07,"https://www.transfermarkt.com/morato/profil/spieler/673492"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","4","Lucas Veríssimo","Centre-Back",1995-07-02,NA,"Brazil",NA,"1.88","right","2021-01-31","Santos FC","2026-06-30",8e+06,"https://www.transfermarkt.com/lucas-verissimo/profil/spieler/411662"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","30","Nicolás Otamendi","Centre-Back",1988-02-12,NA,"Argentina",NA,"1.83","right","2020-09-29","Manchester City","2023-06-30",3e+06,"https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","3","Alejandro Grimaldo","Left-Back",1995-09-20,NA,"Spain",NA,"1.71","left","2016-01-01","FC Barcelona B","2023-06-30",2.5e+07,"https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","23","Mihailo Ristić","Left-Back",1995-10-31,NA,"Serbia",NA,"1.8","left","2022-07-01","Montpellier HSC","2026-06-30",3500000,"https://www.transfermarkt.com/mihailo-risti%C4%87/profil/spieler/271455"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","6","Alexander Bah","Right-Back",1997-12-09,NA,"Denmark",NA,"1.83","right","2022-07-01","SK Slavia Prague","2027-06-30",8e+06,"https://www.transfermarkt.com/alexander-bah/profil/spieler/452607"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","2","Gilberto","Right-Back",1993-03-07,NA,"Brazil",NA,"1.81","right","2020-08-08","Fluminense Football Club","2025-06-30",6e+06,"https://www.transfermarkt.com/gilberto/profil/spieler/231614"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","61","Florentino","Defensive Midfield",1999-08-19,NA,"Portugal",NA,"1.84","right","2019-01-01","SL Benfica B","2027-06-30",2e+07,"https://www.transfermarkt.com/florentino/profil/spieler/357162"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","8","Fredrik Aursnes","Defensive Midfield",1995-12-10,NA,"Norway",NA,"1.79","right","2022-08-24","Feyenoord Rotterdam","2027-06-30",1.6e+07,"https://www.transfermarkt.com/fredrik-aursnes/profil/spieler/223367"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","20","João Mário","Central Midfield",1993-01-19,NA,"Portugal",NA,"1.79","right","2021-07-13","Inter Milan","2026-06-30",1.4e+07,"https://www.transfermarkt.com/joao-mario/profil/spieler/149729"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","87","João Neves","Central Midfield",2004-09-27,NA,"Portugal",NA,"1.74","right","2023-01-01","SL Benfica B","2028-06-30",2500000,"https://www.transfermarkt.com/joao-neves/profil/spieler/670681"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","22","Chiquinho","Attacking Midfield",1995-07-19,NA,"Portugal",NA,"1.75","right","2019-07-01","Moreirense FC","2024-06-30",6e+06,"https://www.transfermarkt.com/chiquinho/profil/spieler/334557"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","21","Andreas Schjelderup","Left Winger",2004-06-01,NA,"Norway",NA,"1.76","right","2023-01-12","FC Nordsjaelland","2028-06-30",9e+06,"https://www.transfermarkt.com/andreas-schjelderup/profil/spieler/670103"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","93","Julian Draxler","Left Winger",1993-09-20,NA,"Germany",NA,"1.85","right","2022-09-01","Paris Saint-Germain","2023-06-30",8e+06,"https://www.transfermarkt.com/julian-draxler/profil/spieler/85148"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","7","David Neres","Right Winger",1997-03-03,NA,"Brazil",NA,"1.76","left","2022-07-01","Shakhtar Donetsk","2027-06-30",2.2e+07,"https://www.transfermarkt.com/david-neres/profil/spieler/469822"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","15","Gonçalo Guedes","Second Striker",1996-11-29,NA,"Portugal",NA,"1.79","right","2023-01-19","Wolverhampton Wanderers","2023-06-30",2.8e+07,"https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122"
"Liga Portugal",NA,"Portugal",2022,"SL Benfica","27","Rafa","Second Striker",1993-05-17,NA,"Portugal",NA,"1.72","right","2016-08-31","SC Braga","2024-06-30",2.3e+07,"https://www.transfermarkt.com/rafa/profil/spieler/238055"
