"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Artur Moraes","Goalkeeper",1981-01-25,NA,"Brazil",NA,"1.93","right","2011-07-01","SC Braga",NA,6e+06,"https://www.transfermarkt.com/artur-moraes/profil/spieler/20394"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Mika","Goalkeeper",1991-03-08,NA,"Portugal","Vitória Setúbal FC","1.95","left","2011-07-01","União de Leiria","2023-06-30",1500000,"https://www.transfermarkt.com/mika/profil/spieler/138285"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Paulo Lopes","Goalkeeper",1978-06-29,NA,"Portugal",NA,"1.84","right","2012-07-01","CD Feirense",NA,NA,"https://www.transfermarkt.com/paulo-lopes/profil/spieler/25236"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Ezequiel Garay","Centre-Back",1986-10-10,NA,"Argentina",NA,"1.88","right","2011-07-01","Real Madrid",NA,17500000,"https://www.transfermarkt.com/ezequiel-garay/profil/spieler/35939"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Luisão","Centre-Back",1981-02-13,NA,"Brazil",NA,"1.95","right","2003-08-01","Cruzeiro Esporte Clube",NA,7500000,"https://www.transfermarkt.com/luisao/profil/spieler/13230"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,5500000,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Sidnei","Centre-Back",1989-08-23,NA,"Brazil","UD Las Palmas","1.84","right","2008-07-24","Sport Club Internacional","2023-06-30",2e+06,"https://www.transfermarkt.com/sidnei/profil/spieler/27374"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Miguel Vítor","Centre-Back",1989-06-30,NA,"Israel","Hapoel Beer Sheva","1.84","right","2007-07-01","SL Benfica U19","2024-06-30",1500000,"https://www.transfermarkt.com/miguel-vitor/profil/spieler/57814"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Roderick Miranda","Centre-Back",1991-03-30,NA,"Portugal","Melbourne Victory","1.93","right","2010-07-01","SL Benfica U19","2023-06-30",1e+06,"https://www.transfermarkt.com/roderick-miranda/profil/spieler/87856"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Fábio Cardoso","Centre-Back",1994-04-19,NA,"Portugal","FC Porto","1.87","right",NA,NA,"2026-06-30",NA,"https://www.transfermarkt.com/fabio-cardoso/profil/spieler/155025"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Luísinho","Left-Back",1985-05-05,NA,"Portugal",NA,"1.71","left","2012-07-01","FC Paços de Ferreira",NA,1500000,"https://www.transfermarkt.com/luisinho/profil/spieler/56777"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Luís Martins","Left-Back",1992-06-10,NA,"Portugal","Vancouver Whitecaps FC","1.77","left","2011-07-01","SL Benfica U19","2024-12-31",NA,"https://www.transfermarkt.com/luis-martins/profil/spieler/187896"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Maximiliano Pereira","Right-Back",1984-06-08,NA,"Uruguay","CA River Plate Montevideo","1.73","right","2007-08-27","Defensor Sporting Club","2023-12-31",1.4e+07,"https://www.transfermarkt.com/maximiliano-pereira/profil/spieler/57834"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","André Almeida","Right-Back",1990-09-10,NA,"Portugal","Without Club","1.85","right","2011-07-01","CF Os Belenenses",NA,3e+06,"https://www.transfermarkt.com/andre-almeida/profil/spieler/83466"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","João Cancelo","Right-Back",1994-05-27,NA,"Portugal","Bayern Munich","1.82","right","2014-07-01","SL Benfica B","2023-06-30",1e+06,"https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Axel Witsel","Defensive Midfield",1989-01-12,NA,"Belgium","Atlético de Madrid","1.86","right","2011-07-13","Standard Liège","2024-06-30",3.2e+07,"https://www.transfermarkt.com/axel-witsel/profil/spieler/35047"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Javi García","Defensive Midfield",1987-02-08,NA,"Spain",NA,"1.87","right","2009-07-21","Real Madrid",NA,1.7e+07,"https://www.transfermarkt.com/javi-garcia/profil/spieler/36350"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Nemanja Matić","Defensive Midfield",1988-08-01,NA,"Serbia","AS Roma","1.94","left","2011-07-01","Chelsea FC","2024-06-30",1.4e+07,"https://www.transfermarkt.com/nemanja-mati%C4%87/profil/spieler/74683"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Enzo Pérez","Defensive Midfield",1986-02-22,NA,"Argentina","CA River Plate","1.79","right","2011-07-01","Club Estudiantes de La Plata","2023-12-31",7500000,"https://www.transfermarkt.com/enzo-perez/profil/spieler/56066"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Bruno César","Central Midfield",1988-11-03,NA,"Brazil","XV de Piracicaba","1.78","left","2011-07-01","Sport Club Corinthians Paulista","2023-04-30",4e+06,"https://www.transfermarkt.com/bruno-cesar/profil/spieler/110074"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","André Gomes","Central Midfield",1993-07-30,NA,"Portugal","LOSC Lille","1.88","right","2012-07-01","SL Benfica U19","2023-06-30",3500000,"https://www.transfermarkt.com/andre-gomes/profil/spieler/221025"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Miguel Rosa","Central Midfield",1989-01-13,NA,"Portugal","Without Club","1.74","right","2008-07-01","SL Benfica U19",NA,2e+06,"https://www.transfermarkt.com/miguel-rosa/profil/spieler/58944"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Nico Gaitán","Attacking Midfield",1988-02-23,NA,"Argentina","FC Paços de Ferreira","1.74","left","2010-07-01","CA Boca Juniors","2023-06-30",17500000,"https://www.transfermarkt.com/nico-gaitan/profil/spieler/75442"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Pablo Aimar","Attacking Midfield",1979-11-03,NA,"Argentina",NA,"1.7","right","2008-07-17","Real Zaragoza",NA,4500000,"https://www.transfermarkt.com/pablo-aimar/profil/spieler/3411"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Carlos Martins","Attacking Midfield",1982-04-29,NA,"Portugal",NA,"1.72","both","2008-07-01","Recreativo Huelva",NA,4500000,"https://www.transfermarkt.com/carlos-martins/profil/spieler/14511"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Felipe Menezes","Attacking Midfield",1988-01-20,NA,"Brazil","Hercílio Luz Futebol Clube (SC)","1.85","right","2009-08-01","Goiás Esporte Clube",NA,NA,"https://www.transfermarkt.com/felipe-menezes/profil/spieler/53757"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Ola John","Left Winger",1992-05-19,NA,"Netherlands","Al-Hazem SC","1.79","right","2012-07-01","Twente Enschede FC","2023-06-30",1.1e+07,"https://www.transfermarkt.com/ola-john/profil/spieler/124550"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Nolito","Left Winger",1986-10-15,NA,"Spain","UD Ibiza","1.75","right","2011-07-01","FC Barcelona B","2024-06-30",7e+06,"https://www.transfermarkt.com/nolito/profil/spieler/70934"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Lorenzo Melgarejo","Left Winger",1990-08-10,NA,"Paraguay","Club Libertad Asunción","1.77","left","2011-07-01","Independiente FBC","2024-06-30",6e+06,"https://www.transfermarkt.com/lorenzo-melgarejo/profil/spieler/127822"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Eduardo Salvio","Right Winger",1990-07-13,NA,"Argentina","UNAM Pumas","1.73","right","2012-07-31","Atlético de Madrid","2024-06-30",1.4e+07,"https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Jonathan Urretaviscaya","Right Winger",1990-03-19,NA,"Uruguay","CA Boston River","1.72","right","2008-07-01","CA River Plate Montevideo","2023-12-31",1800000,"https://www.transfermarkt.com/jonathan-urretaviscaya/profil/spieler/74621"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Javier Saviola","Second Striker",1981-12-11,NA,"Argentina",NA,"1.68","right","2009-07-01","Real Madrid",NA,3e+06,"https://www.transfermarkt.com/javier-saviola/profil/spieler/7611"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Óscar Cardozo","Centre-Forward",1983-05-20,NA,"Paraguay","Club Libertad Asunción","1.93","left","2007-07-01","CA Newell's Old Boys",NA,17500000,"https://www.transfermarkt.com/oscar-cardozo/profil/spieler/45865"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Lima","Centre-Forward",1983-05-11,NA,"Brazil",NA,"1.79","right","2012-08-31","SC Braga",NA,1.1e+07,"https://www.transfermarkt.com/lima/profil/spieler/54470"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Rodrigo","Centre-Forward",1991-03-06,NA,"Spain","Leeds United","1.82","left","2010-07-31","Real Madrid Castilla","2024-06-30",1e+07,"https://www.transfermarkt.com/rodrigo/profil/spieler/131505"
"Liga Portugal",NA,"Portugal",2012,"SL Benfica","-","Alan Kardec","Centre-Forward",1989-01-12,NA,"Brazil","Clube Atlético Mineiro","1.9","right","2010-01-01","Clube de Regatas Vasco da Gama","2024-12-31",1750000,"https://www.transfermarkt.com/alan-kardec/profil/spieler/53922"
