"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","99","Odysseas Vlachodimos","Goalkeeper",1994-04-26,NA,"Greece","SL Benfica","1.91","right","2018-07-01","Panathinaikos Athens","2027-06-30",1.2e+07,"https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","-","Helton Leite","Goalkeeper",1990-11-02,NA,"Brazil","Antalyaspor","1.96","right","2020-08-08","Boavista FC","2024-06-30",7e+06,"https://www.transfermarkt.com/helton-leite/profil/spieler/175383"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","-","Mile Svilar","Goalkeeper",1999-08-27,NA,"Serbia","AS Roma","1.89","right","2017-08-28","RSC Anderlecht","2027-06-30",2e+06,"https://www.transfermarkt.com/mile-svilar/profil/spieler/338670"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","-","Fábio Duarte","Goalkeeper",1998-05-11,NA,"Portugal","UD Vilafranquense","1.87","left",NA,NA,"2024-06-30",NA,"https://www.transfermarkt.com/fabio-duarte/profil/spieler/258036"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","24","Samuel Soares","Goalkeeper",2002-06-15,NA,"Portugal","SL Benfica B","1.9","right",NA,NA,"2027-06-30",NA,"https://www.transfermarkt.com/samuel-soares/profil/spieler/504072"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","-","Rúben Dias","Centre-Back",1997-05-14,NA,"Portugal","Manchester City","1.87","right","2017-07-01","SL Benfica B","2027-06-30",7.5e+07,"https://www.transfermarkt.com/ruben-dias/profil/spieler/258004"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","-","Jean-Clair Todibo","Centre-Back",1999-12-30,NA,"France","OGC Nice","1.9","right","2020-10-05","FC Barcelona","2027-06-30",1.2e+07,"https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","4","Lucas Veríssimo","Centre-Back",1995-07-02,NA,"Brazil","SL Benfica","1.88","right","2021-01-31","Santos FC","2026-06-30",8e+06,"https://www.transfermarkt.com/lucas-verissimo/profil/spieler/411662"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","30","Nicolás Otamendi","Centre-Back",1988-02-12,NA,"Argentina","SL Benfica","1.83","right","2020-09-29","Manchester City","2023-06-30",8e+06,"https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781"
"Liga Portugal",NA,"Portugal",2020,"SL Benfica","-","Jan Vertonghen","Centre-Back",1987-04-24,NA,"Belgium","RSC Anderlecht","1.89","left","2020-08-14","Tottenham Hotspur","2024-06-30",6e+06,"https://www.transfermarkt.com/jan-vertonghen/profil/spieler/43250"
