"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Jan Oblak","Goalkeeper",1993-01-07,NA,"Slovenia","Atlético de Madrid","1.88","right","2010-01-04","NK Olimpija Ljubljana","2028-06-30",4e+06,"https://www.transfermarkt.com/jan-oblak/profil/spieler/121483"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Artur Moraes","Goalkeeper",1981-01-25,NA,"Brazil",NA,"1.93","right","2011-07-01","SC Braga",NA,3500000,"https://www.transfermarkt.com/artur-moraes/profil/spieler/20394"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Bruno Varela","Goalkeeper",1994-11-04,NA,"Portugal","Vitória Guimarães SC","1.91","right","2017-07-01","Vitória Setúbal FC","2024-06-30",1e+06,"https://www.transfermarkt.com/bruno-varela/profil/spieler/182722"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Paulo Lopes","Goalkeeper",1978-06-29,NA,"Portugal",NA,"1.84","right","2012-07-01","CD Feirense",NA,NA,"https://www.transfermarkt.com/paulo-lopes/profil/spieler/25236"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Ezequiel Garay","Centre-Back",1986-10-10,NA,"Argentina",NA,"1.88","right","2011-07-01","Real Madrid",NA,2e+07,"https://www.transfermarkt.com/ezequiel-garay/profil/spieler/35939"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Luisão","Centre-Back",1981-02-13,NA,"Brazil",NA,"1.95","right","2003-08-01","Cruzeiro Esporte Clube",NA,5e+06,"https://www.transfermarkt.com/luisao/profil/spieler/13230"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,4e+06,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Steven Vitória","Centre-Back",1987-01-11,NA,"Canada","GD Chaves","1.95","right","2013-07-01","GD Estoril Praia","2023-06-30",3e+06,"https://www.transfermarkt.com/steven-vitoria/profil/spieler/54716"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Stefan Mitrović","Centre-Back",1990-05-22,NA,"Serbia","Getafe CF","1.89","both","2013-07-01","KV Kortrijk","2024-06-30",1e+06,"https://www.transfermarkt.com/stefan-mitrovi%C4%87/profil/spieler/143029"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Victor Lindelöf","Centre-Back",1994-07-17,NA,"Sweden","Manchester United","1.87","right","2015-07-01","SL Benfica B","2024-06-30",1e+06,"https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Guilherme Siqueira","Left-Back",1986-04-28,NA,"Brazil",NA,"1.82","left","2013-09-02","Granada CF",NA,8e+06,"https://www.transfermarkt.com/guilherme-siqueira/profil/spieler/44373"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Bruno Cortêz","Left-Back",1987-03-11,NA,"Brazil","Mirassol Futebol Clube (SP)","1.79","left","2013-07-12","São Paulo Futebol Clube","2023-12-31",1700000,"https://www.transfermarkt.com/bruno-cortez/profil/spieler/182216"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Maximiliano Pereira","Right-Back",1984-06-08,NA,"Uruguay","CA River Plate Montevideo","1.73","right","2007-08-27","Defensor Sporting Club","2023-12-31",9e+06,"https://www.transfermarkt.com/maximiliano-pereira/profil/spieler/57834"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Sílvio","Right-Back",1987-09-28,NA,"Portugal","UD Vilafranquense","1.76","right","2013-07-09","Atlético de Madrid","2023-06-30",5e+06,"https://www.transfermarkt.com/silvio/profil/spieler/84511"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","André Almeida","Right-Back",1990-09-10,NA,"Portugal","Without Club","1.85","right","2011-07-01","CF Os Belenenses",NA,4500000,"https://www.transfermarkt.com/andre-almeida/profil/spieler/83466"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","João Cancelo","Right-Back",1994-05-27,NA,"Portugal","Bayern Munich","1.82","right","2014-07-01","SL Benfica B","2023-06-30",2e+06,"https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Nemanja Matić","Defensive Midfield",1988-08-01,NA,"Serbia","AS Roma","1.94","left","2011-07-01","Chelsea FC","2024-06-30",2.5e+07,"https://www.transfermarkt.com/nemanja-mati%C4%87/profil/spieler/74683"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Enzo Pérez","Defensive Midfield",1986-02-22,NA,"Argentina","CA River Plate","1.79","right","2011-07-01","Club Estudiantes de La Plata","2023-12-31",1.1e+07,"https://www.transfermarkt.com/enzo-perez/profil/spieler/56066"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Ljubomir Fejsa","Defensive Midfield",1988-08-14,NA,"Serbia","FK Partizan Belgrade","1.83","right","2013-08-24","Olympiacos Piraeus","2023-06-30",4500000,"https://www.transfermarkt.com/ljubomir-fejsa/profil/spieler/46110"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Rúben Pinto","Defensive Midfield",1992-04-24,NA,"Portugal","MOL Fehérvár FC","1.83","right",NA,NA,"2024-06-30",1e+06,"https://www.transfermarkt.com/ruben-pinto/profil/spieler/139394"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","André Gomes","Central Midfield",1993-07-30,NA,"Portugal","LOSC Lille","1.88","right","2012-07-01","SL Benfica U19","2023-06-30",5e+06,"https://www.transfermarkt.com/andre-gomes/profil/spieler/221025"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Rúben Amorim","Central Midfield",1985-01-27,NA,"Portugal",NA,"1.78","right","2008-07-01","CF Os Belenenses",NA,4500000,"https://www.transfermarkt.com/ruben-amorim/profil/spieler/25101"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Miralem Sulejmani","Left Midfield",1988-12-05,NA,"Serbia","Without Club","1.79","left","2013-07-01","Ajax Amsterdam",NA,2500000,"https://www.transfermarkt.com/miralem-sulejmani/profil/spieler/36080"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Nico Gaitán","Attacking Midfield",1988-02-23,NA,"Argentina","FC Paços de Ferreira","1.74","left","2010-07-01","CA Boca Juniors","2023-06-30",1.8e+07,"https://www.transfermarkt.com/nico-gaitan/profil/spieler/75442"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Filip Djuricic","Attacking Midfield",1992-01-30,NA,"Serbia","UC Sampdoria","1.81","right","2013-07-01","SC Heerenveen","2024-06-30",7e+06,"https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Bernardo Silva","Attacking Midfield",1994-08-10,NA,"Portugal","Manchester City","1.73","left","2014-07-01","SL Benfica B","2025-06-30",2500000,"https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Ola John","Left Winger",1992-05-19,NA,"Netherlands","Al-Hazem SC","1.79","right","2012-07-01","Twente Enschede FC","2023-06-30",8e+06,"https://www.transfermarkt.com/ola-john/profil/spieler/124550"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Ivan Cavaleiro","Left Winger",1993-10-18,NA,"Portugal","Alanyaspor","1.75","right","2013-07-01","SL Benfica B","2023-06-30",3e+06,"https://www.transfermarkt.com/ivan-cavaleiro/profil/spieler/149716"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Eduardo Salvio","Right Winger",1990-07-13,NA,"Argentina","UNAM Pumas","1.73","right","2012-07-31","Atlético de Madrid","2024-06-30",1.7e+07,"https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Lazar Markovic","Right Winger",1994-03-02,NA,"Serbia","Trabzonspor","1.75","right","2013-07-01","FK Partizan Belgrade","2023-06-30",1e+07,"https://www.transfermarkt.com/lazar-markovic/profil/spieler/144303"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Hélder Costa","Right Winger",1994-01-12,NA,"Angola","Al-Ittihad Club (Jeddah)","1.79","left","2015-07-01","SL Benfica B","2023-06-30",NA,"https://www.transfermarkt.com/helder-costa/profil/spieler/173900"
"Liga Portugal",NA,"Portugal",2013,"SL Benfica","-","Harramiz","Right Winger",1990-08-03,NA,"Sao Tome and Principe","SC União Torreense","1.8","right",NA,NA,"2023-06-30",NA,"https://www.transfermarkt.com/harramiz/profil/spieler/280410"
