"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Bruno Varela","Goalkeeper",1994-11-04,NA,"Portugal","Vitória Guimarães SC","1.91","right","2017-07-01","Vitória Setúbal FC","2024-06-30",8e+06,"https://www.transfermarkt.com/bruno-varela/profil/spieler/182722"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Mile Svilar","Goalkeeper",1999-08-27,NA,"Serbia","AS Roma","1.89","right","2017-08-28","RSC Anderlecht","2027-06-30",2500000,"https://www.transfermarkt.com/mile-svilar/profil/spieler/338670"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Paulo Lopes","Goalkeeper",1978-06-29,NA,"Portugal",NA,"1.84","right","2012-07-01","CD Feirense",NA,NA,"https://www.transfermarkt.com/paulo-lopes/profil/spieler/25236"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Fábio Duarte","Goalkeeper",1998-05-11,NA,"Portugal","UD Vilafranquense","1.87","left",NA,NA,"2024-06-30",NA,"https://www.transfermarkt.com/fabio-duarte/profil/spieler/258036"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Júlio César","Goalkeeper",1979-09-03,NA,"Brazil",NA,"1.86","left","2014-08-19","Queens Park Rangers",NA,NA,"https://www.transfermarkt.com/julio-cesar/profil/spieler/22412"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Rúben Dias","Centre-Back",1997-05-14,NA,"Portugal","Manchester City","1.87","right","2017-07-01","SL Benfica B","2027-06-30",2.2e+07,"https://www.transfermarkt.com/ruben-dias/profil/spieler/258004"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Lisandro López","Centre-Back",1989-09-01,NA,"Argentina","Club Tijuana","1.87","right","2013-07-10","Arsenal Fútbol Club","2024-12-31",4e+06,"https://www.transfermarkt.com/lisandro-lopez/profil/spieler/125019"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,3500000,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Luisão","Centre-Back",1981-02-13,NA,"Brazil",NA,"1.95","right","2003-08-01","Cruzeiro Esporte Clube",NA,NA,"https://www.transfermarkt.com/luisao/profil/spieler/13230"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","3","Alejandro Grimaldo","Left-Back",1995-09-20,NA,"Spain","SL Benfica","1.71","left","2016-01-01","FC Barcelona B","2023-06-30",2e+07,"https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Eliseu","Left-Back",1983-10-01,NA,"Portugal",NA,"1.76","left","2014-07-24","Málaga CF",NA,NA,"https://www.transfermarkt.com/eliseu/profil/spieler/14192"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","André Almeida","Right-Back",1990-09-10,NA,"Portugal","Without Club","1.85","right","2011-07-01","CF Os Belenenses",NA,7500000,"https://www.transfermarkt.com/andre-almeida/profil/spieler/83466"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Douglas","Right-Back",1990-08-06,NA,"Brazil","Without Club","1.71","right","2017-08-31","FC Barcelona",NA,1250000,"https://www.transfermarkt.com/douglas/profil/spieler/58426"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Ljubomir Fejsa","Defensive Midfield",1988-08-14,NA,"Serbia","FK Partizan Belgrade","1.83","right","2013-08-24","Olympiacos Piraeus","2023-06-30",1.5e+07,"https://www.transfermarkt.com/ljubomir-fejsa/profil/spieler/46110"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Andreas Samaris","Defensive Midfield",1989-06-13,NA,"Greece","Rio Ave FC","1.89","right","2014-08-22","Olympiacos Piraeus","2023-06-30",7e+06,"https://www.transfermarkt.com/andreas-samaris/profil/spieler/140032"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Keaton Parks","Defensive Midfield",1997-08-06,NA,"United States","New York City FC","1.93","right",NA,NA,NA,1750000,"https://www.transfermarkt.com/keaton-parks/profil/spieler/451860"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Filipe Augusto","Defensive Midfield",1993-08-12,NA,"Brazil","Cuiabá Esporte Clube (MT)","1.83","left","2017-01-31","Rio Ave FC","2023-12-31",1e+06,"https://www.transfermarkt.com/filipe-augusto/profil/spieler/212899"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Martin Chrien","Central Midfield",1995-09-08,NA,"Slovakia","MFK Ruzomberok","1.82","right","2017-07-01","FC Viktoria Plzen","2024-05-31",NA,"https://www.transfermarkt.com/martin-chrien/profil/spieler/252712"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Pizzi","Attacking Midfield",1989-10-06,NA,"Portugal","SC Braga","1.77","right","2013-07-26","Atlético de Madrid","2024-06-30",2e+07,"https://www.transfermarkt.com/pizzi/profil/spieler/64339"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Filip Krovinovic","Attacking Midfield",1995-08-29,NA,"Croatia","HNK Hajduk Split","1.75","right","2017-07-01","Rio Ave FC","2024-05-31",7e+06,"https://www.transfermarkt.com/filip-krovinovic/profil/spieler/261988"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","João Carvalho","Attacking Midfield",1997-03-09,NA,"Portugal","GD Estoril Praia","1.72","right","2017-07-01","SL Benfica B","2023-06-30",2500000,"https://www.transfermarkt.com/joao-carvalho/profil/spieler/258005"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Franco Cervi","Left Winger",1994-05-26,NA,"Argentina","Celta de Vigo","1.66","left","2016-07-01","CA Rosario Central","2024-06-30",1.8e+07,"https://www.transfermarkt.com/franco-cervi/profil/spieler/341110"
"Liga Portugal",NA,"Portugal",2017,"SL Benfica","-","Eduardo Salvio","Right Winger",1990-07-13,NA,"Argentina","UNAM Pumas","1.73","right","2012-07-31","Atlético de Madrid","2024-06-30",2.2e+07,"https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535"
