"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","99","Odysseas Vlachodimos","Goalkeeper",1994-04-26,NA,"Greece","SL Benfica","1.91","right","2018-07-01","Panathinaikos Athens","2027-06-30",1e+07,"https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Bruno Varela","Goalkeeper",1994-11-04,NA,"Portugal","Vitória Guimarães SC","1.91","right","2017-07-01","Vitória Setúbal FC","2024-06-30",3e+06,"https://www.transfermarkt.com/bruno-varela/profil/spieler/182722"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Mile Svilar","Goalkeeper",1999-08-27,NA,"Serbia","AS Roma","1.89","right","2017-08-28","RSC Anderlecht","2027-06-30",2e+06,"https://www.transfermarkt.com/mile-svilar/profil/spieler/338670"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Ivan Zlobin","Goalkeeper",1997-03-07,NA,"Russia","FC Famalicão","1.91","right","2019-02-01","SL Benfica B","2025-06-30",1e+06,"https://www.transfermarkt.com/ivan-zlobin/profil/spieler/282654"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Rúben Dias","Centre-Back",1997-05-14,NA,"Portugal","Manchester City","1.87","right","2017-07-01","SL Benfica B","2027-06-30",3.2e+07,"https://www.transfermarkt.com/ruben-dias/profil/spieler/258004"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Ferro","Centre-Back",1997-03-26,NA,"Portugal","HNK Hajduk Split","1.91","right","2019-01-01","SL Benfica B","2026-05-31",1.5e+07,"https://www.transfermarkt.com/ferro/profil/spieler/294321"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Cristian Lema","Centre-Back",1990-03-24,NA,"Argentina","Club Atlético Lanús","1.91","right","2018-07-01","Club Atlético Belgrano",NA,2500000,"https://www.transfermarkt.com/cristian-lema/profil/spieler/147128"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Germán Conti","Centre-Back",1994-06-03,NA,"Argentina","Lokomotiv Moscow","1.93","right","2018-07-01","CA Colon","2025-06-30",2500000,"https://www.transfermarkt.com/german-conti/profil/spieler/284321"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,2e+06,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Yuri Ribeiro","Centre-Back",1997-01-24,NA,"Portugal","Legia Warszawa","1.75","left","2018-07-01","SL Benfica B","2024-06-30",1500000,"https://www.transfermarkt.com/yuri-ribeiro/profil/spieler/258032"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","3","Alejandro Grimaldo","Left-Back",1995-09-20,NA,"Spain","SL Benfica","1.71","left","2016-01-01","FC Barcelona B","2023-06-30",3.2e+07,"https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","André Almeida","Right-Back",1990-09-10,NA,"Portugal","Without Club","1.85","right","2011-07-01","CF Os Belenenses",NA,8e+06,"https://www.transfermarkt.com/andre-almeida/profil/spieler/83466"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Sébastien Corchia","Right-Back",1990-11-01,NA,"France","FC Nantes","1.76","right","2018-08-19","Sevilla FC","2023-06-30",2e+06,"https://www.transfermarkt.com/sebastien-corchia/profil/spieler/102744"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Tyronne Ebuehi","Right-Back",1995-12-16,NA,"Nigeria","FC Empoli","1.87","right","2018-07-01","ADO Den Haag","2025-06-30",1e+06,"https://www.transfermarkt.com/tyronne-ebuehi/profil/spieler/309944"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","61","Florentino","Defensive Midfield",1999-08-19,NA,"Portugal","SL Benfica","1.84","right","2019-01-01","SL Benfica B","2027-06-30",1.5e+07,"https://www.transfermarkt.com/florentino/profil/spieler/357162"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Andreas Samaris","Defensive Midfield",1989-06-13,NA,"Greece","Rio Ave FC","1.89","right","2014-08-22","Olympiacos Piraeus","2023-06-30",9e+06,"https://www.transfermarkt.com/andreas-samaris/profil/spieler/140032"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Ljubomir Fejsa","Defensive Midfield",1988-08-14,NA,"Serbia","FK Partizan Belgrade","1.83","right","2013-08-24","Olympiacos Piraeus","2023-06-30",8e+06,"https://www.transfermarkt.com/ljubomir-fejsa/profil/spieler/46110"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Alfa Semedo","Defensive Midfield",1997-08-30,NA,"Guinea-Bissau","Al-Tai","1.89","right","2018-07-03","Moreirense FC","2024-06-30",2e+06,"https://www.transfermarkt.com/alfa-semedo/profil/spieler/359210"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Gedson Fernandes","Central Midfield",1999-01-09,NA,"Portugal","Besiktas JK","1.83","right","2018-07-01","SL Benfica B","2026-06-30",2e+07,"https://www.transfermarkt.com/gedson-fernandes/profil/spieler/337800"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Gabriel Pires","Central Midfield",1993-09-18,NA,"Brazil","Botafogo de Futebol e Regatas","1.87","left","2018-08-27","CD Leganés","2023-06-30",1.3e+07,"https://www.transfermarkt.com/gabriel-pires/profil/spieler/167291"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Adel Taarabt","Central Midfield",1989-05-24,NA,"Morocco","Al-Nasr SC (UAE)","1.85","right","2019-03-30","SL Benfica B",NA,1500000,"https://www.transfermarkt.com/adel-taarabt/profil/spieler/45287"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Pizzi","Attacking Midfield",1989-10-06,NA,"Portugal","SC Braga","1.77","right","2013-07-26","Atlético de Madrid","2024-06-30",2.5e+07,"https://www.transfermarkt.com/pizzi/profil/spieler/64339"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Filip Krovinovic","Attacking Midfield",1995-08-29,NA,"Croatia","HNK Hajduk Split","1.75","right","2017-07-01","Rio Ave FC","2024-05-31",5e+06,"https://www.transfermarkt.com/filip-krovinovic/profil/spieler/261988"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Franco Cervi","Left Winger",1994-05-26,NA,"Argentina","Celta de Vigo","1.66","left","2016-07-01","CA Rosario Central","2024-06-30",1.2e+07,"https://www.transfermarkt.com/franco-cervi/profil/spieler/341110"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Jota","Left Winger",1999-03-30,NA,"Portugal","Celtic FC","1.75","both","2019-07-01","SL Benfica B","2027-05-31",1e+07,"https://www.transfermarkt.com/jota/profil/spieler/329812"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Eduardo Salvio","Right Winger",1990-07-13,NA,"Argentina","UNAM Pumas","1.73","right","2012-07-31","Atlético de Madrid","2024-06-30",1e+07,"https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Andrija Zivkovic","Right Winger",1996-07-11,NA,"Serbia","PAOK Thessaloniki","1.69","left","2016-07-05","FK Partizan Belgrade","2024-06-30",1e+07,"https://www.transfermarkt.com/andrija-zivkovic/profil/spieler/206843"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","João Félix","Second Striker",1999-11-10,NA,"Portugal","Chelsea FC","1.81","right","2018-07-01","SL Benfica B","2023-06-30",7e+07,"https://www.transfermarkt.com/joao-felix/profil/spieler/462250"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","27","Rafa","Second Striker",1993-05-17,NA,"Portugal","SL Benfica","1.72","right","2016-08-31","SC Braga","2024-06-30",2.8e+07,"https://www.transfermarkt.com/rafa/profil/spieler/238055"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Jonas","Second Striker",1984-04-01,NA,"Brazil",NA,"1.82","right","2014-09-12","Without Club",NA,2e+06,"https://www.transfermarkt.com/jonas/profil/spieler/50143"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Haris Seferovic","Centre-Forward",1992-02-22,NA,"Switzerland","Celta de Vigo","1.89","left","2017-07-01","Eintracht Frankfurt","2023-06-30",1.8e+07,"https://www.transfermarkt.com/haris-seferovic/profil/spieler/109256"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Nicolás Castillo","Centre-Forward",1993-02-14,NA,"Chile","Without Club","1.79","right","2018-07-01","UNAM Pumas",NA,6e+06,"https://www.transfermarkt.com/nicolas-castillo/profil/spieler/145602"
"Liga Portugal",NA,"Portugal",2018,"SL Benfica","-","Facundo Ferreyra","Centre-Forward",1991-03-14,NA,"Argentina","AA Argentinos Juniors","1.83","right","2018-07-01","Shakhtar Donetsk","2023-12-31",4e+06,"https://www.transfermarkt.com/facundo-ferreyra/profil/spieler/93795"
