"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Bruno Varela","Goalkeeper",1994-11-04,NA,"Portugal","Vitória Guimarães SC","1.91","right","2017-07-01","Vitória Setúbal FC","2024-06-30",1500000,"https://www.transfermarkt.com/bruno-varela/profil/spieler/182722"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Júlio César","Goalkeeper",1979-09-03,NA,"Brazil",NA,"1.86","left","2014-08-19","Queens Park Rangers",NA,1300000,"https://www.transfermarkt.com/julio-cesar/profil/spieler/22412"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Artur Moraes","Goalkeeper",1981-01-25,NA,"Brazil",NA,"1.93","right","2011-07-01","SC Braga",NA,1e+06,"https://www.transfermarkt.com/artur-moraes/profil/spieler/20394"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Paulo Lopes","Goalkeeper",1978-06-29,NA,"Portugal",NA,"1.84","right","2012-07-01","CD Feirense",NA,NA,"https://www.transfermarkt.com/paulo-lopes/profil/spieler/25236"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Lisandro López","Centre-Back",1989-09-01,NA,"Argentina","Club Tijuana","1.87","right","2013-07-10","Arsenal Fútbol Club","2024-12-31",5500000,"https://www.transfermarkt.com/lisandro-lopez/profil/spieler/125019"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,4500000,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Luisão","Centre-Back",1981-02-13,NA,"Brazil",NA,"1.95","right","2003-08-01","Cruzeiro Esporte Clube",NA,4e+06,"https://www.transfermarkt.com/luisao/profil/spieler/13230"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","César Martins","Centre-Back",1992-12-28,NA,"Brazil","Grêmio Novorizontino (SP)","1.9","right","2014-07-01","Associação Atlética Ponte Preta","2023-11-30",2500000,"https://www.transfermarkt.com/cesar-martins/profil/spieler/269467"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Victor Lindelöf","Centre-Back",1994-07-17,NA,"Sweden","Manchester United","1.87","right","2015-07-01","SL Benfica B","2024-06-30",1e+06,"https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573"
"Liga Portugal",NA,"Portugal",2014,"SL Benfica","-","Loris Benito","Left-Back",1992-01-07,NA,"Switzerland","BSC Young Boys","1.84","left","2014-07-08","FC Zürich","2025-06-30",2500000,"https://www.transfermarkt.com/loris-benito/profil/spieler/119085"
