player_name,age,position,club_involved_name,transfer_period,fee_cleaned,year
Darwin Núñez,23.0,Centre-Forward,Liverpool,Summer,75000000.0,2022
Roman Yaremchuk,26.0,Centre-Forward,Club Brugge,Summer,16000000.0,2022
Éverton,26.0,Left Winger,Flamengo,Summer,13500000.0,2022
Jota,23.0,Left Winger,Celtic,Summer,7300000.0,2022
Gedson Fernandes,23.0,Central Midfield,Besiktas,Summer,6000000.0,2022
Carlos Vinícius,27.0,Centre-Forward,Fulham,Summer,5000000.0,2022
Pedro Pereira,24.0,Right-Back,Monza,Summer,2500000.0,2022
Nuno Santos,23.0,Attacking Midfield,Charlotte,Summer,1000000.0,2022
Enzo Fernández,22.0,Central Midfield,Chelsea,Winter,121000000.0,2022
Diogo Gonçalves,25.0,Right Winger,FC Copenhagen,Winter,2000000.0,2022
Tomás Tavares,21.0,Right-Back,Spartak Moscow,Winter,2000000.0,2022
Gil Dias,26.0,Right Winger,VfB Stuttgart,Winter,1000000.0,2022
