"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Artur Moraes","2015","Osmanlispor",NA,NA
"Eduardo","2011","Genoa",2012-06-30,0
"Mika","2012","Benfica B",2016-06-30,1460
"Bruno Varela","2020","Vit. Guimarães",2022-06-30,680
"Bruno Varela","2019","Ajax",2022-06-30,1095
"Bruno Varela","2018","Ajax",2022-06-30,1248
"Bruno Varela","2016","Vitória Setúbal",2018-06-30,729
"Ezequiel Garay","2014","Zenit S-Pb",NA,NA
"Luisão","2018","Retired",2019-06-30,278
"Jardel","2021","Without Club",NA,NA
"Miguel Vítor","2013","PAOK Salonika",NA,NA
"Miguel Vítor","2010","Leicester",NA,NA
"Miguel Vítor","2007","Desportivo Aves",NA,NA
"Fábio Faria","2012","Benfica B",2014-06-30,729
"Fábio Faria","2011","Rio Ave FC",2014-06-30,911
"Fábio Faria","2011","Paços Ferreira",2014-06-30,1064
"Fábio Faria","2010","Real Valladolid",2014-06-30,1276
"Émerson","2012","Trabzonspor",NA,NA
"Joan Capdevila","2012","Espanyol",NA,NA
"Luís Martins","2012","Benfica B",2014-06-30,729
"Maximiliano Pereira","2015","FC Porto",NA,NA
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"Axel Witsel","2012","Zenit S-Pb",NA,NA
"Javi García","2012","Man City",NA,NA
"Nemanja Matić","2013","Chelsea",2018-06-30,1627
"Enzo Pérez","2014","Valencia",2016-06-30,545
"Enzo Pérez","2011","Estudiantes",2016-06-30,1603
"Bruno César","2012","Al-Ahli SFC",NA,NA
"Rúben Amorim","2016","Retired",2018-06-30,452
"Rúben Amorim","2015","Al-Wakrah SC",NA,NA
"Rúben Amorim","2011","SC Braga",2018-06-30,2372
"David Simão","2013","Arouca",2015-06-30,729
"David Simão","2012","Marítimo",2015-06-30,1064
"David Simão","2011","Coimbra",2015-06-30,1276
"David Simão","2010","Paços Ferreira",2014-06-30,1429
"David Simão","2009","CD Fátima",NA,NA
"Nico Gaitán","2016","Atlético Madrid",2019-06-30,1094
"Pablo Aimar","2013","Johor DT",NA,NA
"Nolito","2013","Celta de Vigo",2016-06-30,1095
"Nolito","2012","Granada CF",2016-06-30,1248
"Yannick Djaló","2015","Ratchaburi FC",2016-06-30,149
"Yannick Djaló","2015","Mordovia",2016-06-30,334
"Yannick Djaló","2014","Mordovia",2016-06-30,522
"Yannick Djaló","2013","San Jose",2016-06-30,843
"Yannick Djaló","2012","Toulouse",2016-06-30,1399
"Javier Saviola","2012","Málaga CF",2013-06-30,304
"Óscar Cardozo","2014","Trabzonspor",2016-06-30,694
"Rodrigo","2015","Valencia",2019-06-30,1460
"Rodrigo","2014","Valencia",2015-06-30,342
"Rodrigo","2010","Bolton",2015-06-30,1764
"Franco Jara","2014","Olympiacos",NA,NA
"Franco Jara","2013","Estudiantes",2016-06-30,1055
"Franco Jara","2012","San Lorenzo",2016-06-30,1435
"Franco Jara","2011","Granada CF",NA,NA
"Nélson Oliveira","2016","Norwich",2018-06-30,669
"Nélson Oliveira","2015","Nottm Forest",2018-06-30,1033
"Nélson Oliveira","2014","Swansea",2018-06-30,1276
"Nélson Oliveira","2013","Rennes",NA,NA
"Nélson Oliveira","2012","Dep. La Coruña",NA,NA
"Nélson Oliveira","2010","Paços Ferreira",NA,NA
"Nélson Oliveira","2009","Rio Ave FC",NA,NA
"Rodrigo Mora","2013","River Plate",2016-06-30,1055
"Rodrigo Mora","2012","River Plate",2016-06-30,1415
"Rodrigo Mora","2011","Peñarol",2016-06-30,1625
