"player_name","season","transfer_date","team_from","team_to","market_value","transfer_value","contract_expiry","days_remaining"
"Eduardo Salvio","19/20",2019-07-18,"Benfica","Boca Juniors",1e+07,7e+06,2022-06-30,1078
"Eduardo Salvio","10/11",2011-06-30,"Benfica","Atlético Madrid",1e+07,NA,2011-06-30,0
"Hélder Costa","16/17",2017-01-30,"Benfica","Wolves",3e+06,1.5e+07,2018-06-30,516
"Hélder Costa","16/17",2016-07-29,"Benfica","Wolves",3e+06,NA,NA,NA
"Hélder Costa","15/16",2015-07-10,"Benfica","Monaco",1500000,NA,NA,NA
"Jonas","19/20",2019-07-09,"Benfica","Retired",NA,NA,2020-06-30,357
"Gonçalo Guedes","22/23",2023-06-30,"Benfica","Wolves",2.8e+07,NA,2023-06-30,0
"Gonçalo Guedes","16/17",2017-01-25,"Benfica","Paris SG",9e+06,3e+07,2021-06-30,1617
"Lima","15/16",2015-07-24,"Benfica","Al-Ahli (UAE)",8e+06,7e+06,2016-06-30,342
"Nélson Oliveira","16/17",2016-08-30,"Benfica","Norwich",3e+06,5850000,2018-06-30,669
"Nélson Oliveira","15/16",2015-09-01,"Benfica","Nottm Forest",4e+06,NA,2018-06-30,1033
"Nélson Oliveira","14/15",2015-01-01,"Benfica","Swansea",4500000,NA,2018-06-30,1276
"Nélson Oliveira","13/14",2013-07-26,"Benfica","Rennes",3e+06,NA,NA,NA
"Nélson Oliveira","12/13",2012-07-31,"Benfica","Dep. La Coruña",6e+06,NA,NA,NA
"Nélson Oliveira","10/11",2010-08-12,"Benfica","Paços Ferreira",NA,NA,NA,NA
"Nélson Oliveira","09/10",2010-01-21,"Benfica","Rio Ave FC",NA,NA,NA,NA
"Derley","17/18",2017-08-03,"Benfica","Desportivo Aves",1e+06,0,2018-06-30,331
"Derley","16/17",2016-07-13,"Benfica","Chiapas FC",3500000,NA,2018-06-30,717
"Derley","15/16",2015-07-17,"Benfica","Kayserispor",3e+06,NA,2018-06-30,1079
"Jonathan Rodríguez","15/16",2016-06-30,"Benfica","Peñarol",2500000,NA,2017-06-30,365
"Jonathan Rodríguez","15/16",2015-08-24,"Benfica","Dep. La Coruña",3e+06,NA,2017-06-30,676
"Rui Fonte","16/17",2016-08-31,"Benfica","SC Braga",2e+06,3400000,2018-06-30,668
"Franco Jara","14/15",2015-01-24,"Benfica","Olympiacos",1250000,1500000,NA,NA
"Franco Jara","13/14",2013-08-10,"Benfica","Estudiantes",1500000,NA,2016-06-30,1055
"Franco Jara","12/13",2012-07-26,"Benfica","San Lorenzo",5e+06,NA,2016-06-30,1435
"Franco Jara","11/12",2011-08-29,"Benfica","Granada CF",5500000,NA,NA,NA
