"player_name","season","transfer_date","team_from","team_to","market_value","transfer_value","contract_expiry","days_remaining"
"Bruno Varela","20/21",2020-08-19,"Benfica","Vit. Guimarães",2e+06,0,2022-06-30,680
"Bruno Varela","19/20",2019-07-01,"Benfica","Ajax",3e+06,NA,2022-06-30,1095
"Bruno Varela","18/19",2019-01-29,"Benfica","Ajax",3e+06,NA,2022-06-30,1248
"Bruno Varela","16/17",2016-07-01,"Benfica","Vitória Setúbal",NA,0,2018-06-30,729
"Júlio César","17/18",2017-11-28,"Benfica","Without Club",NA,NA,2018-06-30,214
"Artur Moraes","15/16",2015-07-11,"Benfica","Osmanlispor",NA,0,NA,NA
"Paulo Lopes","18/19",2018-07-01,"Benfica","Retired",NA,NA,NA,NA
"Paulo Lopes","02/03",2002-07-01,"Benfica","Salgueiros",NA,NA,NA,NA
"Paulo Lopes","99/00",1999-07-01,"Benfica","Gil Vicente",NA,NA,NA,NA
"Lisandro López","19/20",2020-01-01,"Benfica","Boca Juniors",3500000,3e+06,2021-06-30,546
"Lisandro López","18/19",2019-01-30,"Benfica","Boca Juniors",2500000,NA,2021-06-30,882
"Lisandro López","18/19",2018-08-08,"Benfica","Genoa",4e+06,NA,2021-06-30,1057
"Lisandro López","17/18",2018-01-15,"Benfica","Inter",5e+06,NA,2021-06-30,1262
"Lisandro López","13/14",2013-09-01,"Benfica","Getafe",7e+06,NA,2018-06-30,1763
"Jardel","21/22",2021-07-01,"Benfica","Without Club",NA,NA,NA,NA
"Luisão","18/19",2018-09-25,"Benfica","Retired",NA,NA,2019-06-30,278
"César Martins","18/19",2018-08-02,"Benfica","Santa Clara",NA,0,2019-06-30,332
"César Martins","17/18",2018-01-26,"Benfica","Juventude",NA,NA,2019-06-30,520
"César Martins","17/18",2017-07-20,"Benfica","Vitória Setúbal",1e+06,NA,2019-06-30,710
"César Martins","16/17",2016-07-15,"Benfica","Nacional",2250000,NA,2019-06-30,1080
"César Martins","15/16",2015-07-17,"Benfica","Flamengo",2250000,NA,2019-06-30,1444
"Victor Lindelöf","17/18",2017-07-01,"Benfica","Man Utd",2.2e+07,3.5e+07,2021-06-30,1460
"Loris Benito","15/16",2015-07-01,"Benfica","BSC Young Boys",2500000,3e+06,2019-06-30,1460
"Eliseu","18/19",2018-07-01,"Benfica","Retired",NA,NA,NA,NA
"Maximiliano Pereira","15/16",2015-07-15,"Benfica","FC Porto",8e+06,0,NA,NA
"André Almeida","22/23",2023-01-31,"Benfica","Without Club",NA,NA,NA,NA
"André Almeida","11/12",2011-07-04,"Benfica","Leiria",NA,NA,2023-06-30,4379
"Sílvio","15/16",2016-06-30,"Benfica","Atlético Madrid",2e+06,NA,2016-06-30,0
"Enzo Pérez","14/15",2015-01-02,"Benfica","Valencia",2.3e+07,2.5e+07,2016-06-30,545
"Enzo Pérez","11/12",2012-02-09,"Benfica","Estudiantes",3e+06,NA,2016-06-30,1603
"Andreas Samaris","21/22",2021-08-31,"Benfica","Without Club",2e+06,NA,2023-06-30,668
"Ljubomir Fejsa","20/21",2020-09-24,"Benfica","Al-Ahli SFC",2800000,NA,2021-06-30,279
"Ljubomir Fejsa","19/20",2020-01-29,"Benfica","Alavés",3500000,NA,2021-06-30,518
"Bryan Cristante","18/19",2018-07-01,"Benfica","Atalanta BC",2.5e+07,9500000,2019-06-30,364
"Bryan Cristante","16/17",2017-01-27,"Benfica","Atalanta BC",2e+06,NA,2019-06-30,884
"Bryan Cristante","16/17",2016-07-01,"Benfica","Pescara",3e+06,NA,2019-06-30,1094
"Bryan Cristante","15/16",2016-01-08,"Benfica","US Palermo",4e+06,NA,2019-06-30,1269
"Rúben Amorim","16/17",2017-04-04,"Benfica","Retired",NA,NA,2018-06-30,452
"Rúben Amorim","15/16",2015-08-06,"Benfica","Al-Wakrah SC",4e+06,NA,NA,NA
"Rúben Amorim","11/12",2012-01-01,"Benfica","SC Braga",5e+06,NA,2018-06-30,2372
"Renato Sanches","16/17",2016-07-01,"Benfica","Bayern Munich",2e+07,3.5e+07,2021-06-30,1825
"Miralem Sulejmani","15/16",2015-07-01,"Benfica","BSC Young Boys",3e+06,3e+06,2018-06-30,1095
"Nico Gaitán","16/17",2016-07-01,"Benfica","Atlético Madrid",3e+07,2.5e+07,2019-06-30,1094
"Talisca","18/19",2019-01-01,"Benfica","GZ Evergrande",2.5e+07,19200000,2020-06-30,546
"Talisca","18/19",2018-07-01,"Benfica","GZ Evergrande",2.2e+07,NA,2020-06-30,730
"Talisca","16/17",2016-08-23,"Benfica","Besiktas",7500000,NA,2019-06-30,1041
"Pizzi","22/23",2022-07-27,"Benfica","Al-Wahda FC",4e+06,0,2023-06-30,338
"Pizzi","21/22",2022-02-08,"Benfica","Basaksehir",8e+06,NA,2023-06-30,507
"Pizzi","13/14",2013-07-28,"Benfica","Espanyol",6e+06,NA,2023-06-30,3624
"Hany Mukhtar","17/18",2017-07-01,"Benfica","Bröndby IF",2500000,1500000,2020-06-30,1095
"Hany Mukhtar","16/17",2016-07-20,"Benfica","Bröndby IF",1e+06,NA,2020-06-30,1441
"Hany Mukhtar","15/16",2015-08-28,"Benfica","RB Salzburg",1500000,NA,2020-06-30,1768
"Ola John","17/18",2017-07-01,"Benfica","Benfica B",2500000,NA,2019-06-30,729
"Ola John","16/17",2017-01-13,"Benfica","Dep. La Coruña",5e+06,NA,2019-06-30,898
"Ola John","16/17",2016-08-23,"Benfica","Wolves",5e+06,NA,2019-06-30,1041
"Ola John","15/16",2015-09-01,"Benfica","Reading",7e+06,NA,2018-06-30,1033
"Ola John","13/14",2014-01-17,"Benfica","Hamburger SV",1.2e+07,NA,2019-06-30,1990
"Bebé","16/17",2016-07-12,"Benfica","SD Eibar",2e+06,1500000,2018-06-30,718
"Bebé","15/16",2015-07-10,"Benfica","Rayo Vallecano",2e+06,NA,2018-06-30,1086
"Bebé","14/15",2015-01-08,"Benfica","Córdoba CF",3e+06,NA,2018-06-30,1269
