"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Roberto","2013","Atlético Madrid",2017-06-30,1436
"Roberto","2011","Real Zaragoza",NA,NA
"José Moreira","2011","Swansea",NA,NA
"Júlio César","2011","Granada CF",NA,NA
"David Luiz","2010","Chelsea",2015-06-30,1611
"David Luiz","2006","EC Vitória",2007-06-30,0
"Luisão","2018","Retired",2019-06-30,278
"Sidnei","2015","Dep. La Coruña",2016-06-30,343
"Sidnei","2014","Dep. La Coruña",2016-06-30,668
"Sidnei","2013","Espanyol",2016-06-30,1068
"Sidnei","2011","Besiktas",2016-06-30,1826
"Jardel","2021","Without Club",NA,NA
"Fábio Faria","2012","Benfica B",2014-06-30,729
"Fábio Faria","2011","Rio Ave FC",2014-06-30,911
"Fábio Faria","2011","Paços Ferreira",2014-06-30,1064
"Fábio Faria","2010","Real Valladolid",2014-06-30,1276
"Roderick Miranda","2013","Rio Ave FC",2019-06-30,2190
"Roderick Miranda","2012","Dep. La Coruña",2019-06-30,2525
"Roderick Miranda","2011","Servette FC",2019-06-30,2860
"Fábio Coentrão","2011","Real Madrid",2015-06-30,1456
"Fábio Coentrão","2008","Rio Ave FC",NA,NA
"Fábio Coentrão","2008","Real Zaragoza",NA,NA
"Fábio Coentrão","2007","Nacional",NA,NA
"Lionel Carole","2012","Benfica B",2016-06-30,1460
"Lionel Carole","2011","CS Sedan",2016-06-30,1765
"Maximiliano Pereira","2015","FC Porto",NA,NA
"Luís Filipe","2011","Olhanense",NA,NA
"Luís Filipe","2008","Vit. Guimarães",NA,NA
"Javi García","2012","Man City",NA,NA
"Airton","2015","Without Club",NA,NA
"Airton","2014","Botafogo",2015-06-30,363
"Airton","2013","Botafogo",2016-06-30,911
"Airton","2012","Internacional",2016-06-30,1217
"Airton","2011","Flamengo",2016-06-30,1826
"Rúben Amorim","2016","Retired",2018-06-30,452
"Rúben Amorim","2015","Al-Wakrah SC",NA,NA
"Rúben Amorim","2011","SC Braga",2018-06-30,2372
"José Luis Fernández","2013","Godoy Cruz",NA,NA
"José Luis Fernández","2012","Godoy Cruz",2013-06-30,180
"José Luis Fernández","2012","Olhanense",NA,NA
"José Luis Fernández","2011","Godoy Cruz",2015-06-30,1276
"José Luis Fernández","2011","Estudiantes",NA,NA
"César Peixoto","2011","Gil Vicente",NA,NA
"Nico Gaitán","2016","Atlético Madrid",2019-06-30,1094
"Pablo Aimar","2013","Johor DT",NA,NA
"Carlos Martins","2013","Benfica B",NA,NA
"Carlos Martins","2011","Granada CF",NA,NA
"Felipe Menezes","2013","Palmeiras",2014-06-30,364
"Felipe Menezes","2012","Sport Recife",2014-06-30,729
"Felipe Menezes","2011","Botafogo",2014-06-30,1095
"Eduardo Salvio","2019","Boca Juniors",2022-06-30,1078
"Eduardo Salvio","2010","Atlético Madrid",2011-06-30,0
"Javier Saviola","2012","Málaga CF",2013-06-30,304
"Óscar Cardozo","2014","Trabzonspor",2016-06-30,694
"Franco Jara","2014","Olympiacos",NA,NA
"Franco Jara","2013","Estudiantes",2016-06-30,1055
"Franco Jara","2012","San Lorenzo",2016-06-30,1435
"Franco Jara","2011","Granada CF",NA,NA
"Alan Kardec","2014","São Paulo",2015-06-30,364
"Alan Kardec","2013","Palmeiras",2015-06-30,729
"Alan Kardec","2011","Santos",2015-06-30,1460
"Nuno Gomes","2011","SC Braga",NA,NA
"Nuno Gomes","2000","Fiorentina",NA,NA
"Weldon","2011","CFR Cluj",NA,NA
