"player_name","season","transfer_date","team_from","team_to","market_value","transfer_value","contract_expiry","days_remaining"
"Mile Svilar","22/23",2022-07-01,"Benfica","AS Roma",2e+06,0,NA,NA
"Ivan Zlobin","20/21",2020-08-22,"Benfica","Famalicão",1200000,1e+06,2024-06-30,1408
"Rúben Dias","20/21",2020-09-29,"Benfica","Man City",3.5e+07,71600000,2024-06-30,1370
"Ferro","22/23",2023-02-15,"Benfica","Hajduk Split",2500000,NA,2024-06-30,501
"Ferro","22/23",2022-07-15,"Benfica","Vitesse",3500000,NA,2024-06-30,716
"Ferro","21/22",2022-01-31,"Benfica","Hajduk Split",4e+06,NA,2024-06-30,881
"Ferro","20/21",2021-01-31,"Benfica","Valencia",7e+06,NA,2024-06-30,1246
"Germán Conti","22/23",2023-01-30,"Benfica","Loko Moscow",2e+06,0,2023-06-30,151
"Germán Conti","21/22",2022-01-06,"Benfica","América-MG",2500000,NA,2023-06-30,540
"Germán Conti","20/21",2021-03-19,"Benfica","EC Bahia",2500000,NA,2023-06-30,833
"Germán Conti","19/20",2020-01-01,"Benfica","Atlas",2e+06,NA,2023-06-30,1276
"Jardel","21/22",2021-07-01,"Benfica","Without Club",NA,NA,NA,NA
"Nuno Tavares","21/22",2021-07-10,"Benfica","Arsenal",7e+06,8e+06,2024-06-30,1086
"Tomás Tavares","22/23",2023-01-24,"Benfica","Spartak Moscow",2e+06,2e+06,2024-06-30,523
"Tomás Tavares","21/22",2021-08-31,"Benfica","FC Basel",5500000,NA,2024-06-30,1034
"Tomás Tavares","20/21",2021-01-18,"Benfica","Farense",6500000,NA,2024-06-30,1259
"Tomás Tavares","20/21",2020-10-03,"Benfica","Alavés",7500000,NA,2024-06-30,1366
"André Almeida","22/23",2023-01-31,"Benfica","Without Club",NA,NA,NA,NA
"André Almeida","11/12",2011-07-04,"Benfica","Leiria",NA,NA,2023-06-30,4379
"Tyronne Ebuehi","19/20",2019-09-01,"Benfica","Benfica B",1e+06,NA,2023-06-30,1398
"Julian Weigl","22/23",2022-09-01,"Benfica","Bor. M'gladbach",2.2e+07,NA,2024-06-30,668
"Florentino","21/22",2021-08-31,"Benfica","Getafe",1e+07,NA,2024-06-30,1034
"Florentino","20/21",2020-09-25,"Benfica","Monaco",1.8e+07,NA,2027-06-30,2469
"Andreas Samaris","21/22",2021-08-31,"Benfica","Without Club",2e+06,NA,2023-06-30,668
"Ljubomir Fejsa","20/21",2020-09-24,"Benfica","Al-Ahli SFC",2800000,NA,2021-06-30,279
"Ljubomir Fejsa","19/20",2020-01-29,"Benfica","Alavés",3500000,NA,2021-06-30,518
"Gedson Fernandes","22/23",2022-07-01,"Benfica","Besiktas",6500000,6e+06,2025-06-30,1095
"Gedson Fernandes","21/22",2022-02-03,"Benfica","C. Rizespor",8e+06,NA,2025-06-30,1243
"Gedson Fernandes","20/21",2021-02-01,"Benfica","Galatasaray",13500000,NA,2023-06-30,879
"Gedson Fernandes","19/20",2020-01-15,"Benfica","Tottenham",1.5e+07,NA,2023-06-30,1262
"Gabriel Pires","22/23",2022-08-12,"Benfica","Botafogo",5e+06,NA,2024-06-30,688
"Gabriel Pires","21/22",2021-09-28,"Benfica","Al-Gharafa SC",6e+06,NA,2024-06-30,1006
"Adel Taarabt","22/23",2022-09-24,"Benfica","Al-Nasr SC",2500000,0,2023-06-30,279
"Adel Taarabt","18/19",2018-07-01,"Benfica","Benfica B",1500000,NA,2020-06-30,730
"Adel Taarabt","16/17",2017-01-10,"Benfica","Genoa",NA,NA,2020-06-30,1267
"Tiago Dantas","22/23",2022-07-01,"Benfica","PAOK Salonika",2500000,NA,2024-06-30,730
"Tiago Dantas","21/22",2021-07-07,"Benfica","Tondela",3e+06,NA,2024-06-30,1089
"Tiago Dantas","20/21",2020-10-05,"Benfica","Bayern Munich",1300000,NA,2024-06-30,1364
"Caio Lucas","21/22",2021-07-06,"Benfica","Sharjah FC",4800000,2e+06,2023-06-30,724
"Caio Lucas","19/20",2020-01-23,"Benfica","Sharjah FC",3e+06,NA,2023-06-30,1254
"Pizzi","22/23",2022-07-27,"Benfica","Al-Wahda FC",4e+06,0,2023-06-30,338
"Pizzi","21/22",2022-02-08,"Benfica","Basaksehir",8e+06,NA,2023-06-30,507
"Pizzi","13/14",2013-07-28,"Benfica","Espanyol",6e+06,NA,2023-06-30,3624
"Chiquinho","21/22",2022-02-07,"Benfica","Giresunspor",4e+06,NA,2024-06-30,874
"Chiquinho","21/22",2021-08-31,"Benfica","SC Braga",6e+06,NA,2024-06-30,1034
"Chiquinho","18/19",2018-07-24,"Benfica","Moreirense",NA,0,2023-06-30,1802
"Jota","22/23",2022-07-01,"Benfica","Celtic",7500000,7500000,2024-06-30,730
"Jota","21/22",2021-08-31,"Benfica","Celtic",3500000,NA,2024-06-30,1034
"Jota","20/21",2020-10-05,"Benfica","Real Valladolid",8e+06,NA,2024-06-30,1364
"Franco Cervi","21/22",2021-07-05,"Benfica","Celta de Vigo",5e+06,5e+06,2023-06-30,725
"Andrija Zivkovic","20/21",2020-09-08,"Benfica","PAOK Salonika",4e+06,0,2021-06-30,295
"Raúl de Tomás","19/20",2020-01-09,"Benfica","Espanyol",1.5e+07,22500000,2024-06-30,1634
"Carlos Vinícius","22/23",2022-09-01,"Benfica","Fulham",8e+06,5e+06,2024-06-30,668
"Carlos Vinícius","21/22",2021-08-31,"Benfica","PSV Eindhoven",1.8e+07,NA,2024-06-30,1034
"Carlos Vinícius","20/21",2020-10-02,"Benfica","Tottenham",2e+07,NA,2024-06-30,1367
"Haris Seferovic","22/23",2023-01-31,"Benfica","Celta de Vigo",6e+06,NA,2024-06-30,516
"Haris Seferovic","22/23",2022-07-20,"Benfica","Galatasaray",8e+06,NA,2024-06-30,711
"Dyego Sousa","20/21",2020-10-04,"Benfica","SZ FC",3e+06,NA,2020-12-31,88
