player_name,tf_season,days_remaining
Sílvio,2015,0.0
André Almeida,2022,
André Almeida,2011,4379.0
João Cancelo,2015,1095.0
João Cancelo,2014,1410.0
Nemanja Matić,2013,1627.0
Enzo Pérez,2014,545.0
Enzo Pérez,2011,1603.0
Ljubomir Fejsa,2020,279.0
Ljubomir Fejsa,2019,518.0
André Gomes,2015,365.0
André Gomes,2014,714.0
Rúben Amorim,2016,452.0
Rúben Amorim,2015,
Rúben Amorim,2011,2372.0
Miralem Sulejmani,2015,1095.0
Nico Gaitán,2016,1094.0
Filip Djuricic,2016,516.0
Filip Djuricic,2016,708.0
Filip Djuricic,2015,887.0
Filip Djuricic,2014,1244.0
Filip Djuricic,2014,1438.0
Bernardo Silva,2014,1257.0
Bernardo Silva,2014,1423.0
Ola John,2017,729.0
Ola John,2016,898.0
Ola John,2016,1041.0
Ola John,2015,1033.0
Ola John,2013,1990.0
Ivan Cavaleiro,2015,1086.0
Ivan Cavaleiro,2014,1423.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
Lazar Markovic,2014,1446.0
Hélder Costa,2016,516.0
Hélder Costa,2016,
Hélder Costa,2015,
Óscar Cardozo,2014,694.0
Lima,2015,342.0
Rodrigo,2015,1460.0
Rodrigo,2014,342.0
Rodrigo,2010,1764.0
Rogelio Funes Mori,2015,1095.0
Rogelio Funes Mori,2014,1453.0
Rui Fonte,2016,668.0
Bruno Varela,2020,680.0
Bruno Varela,2019,1095.0
Bruno Varela,2018,1248.0
Bruno Varela,2016,729.0
Júlio César,2017,214.0
Artur Moraes,2015,
Paulo Lopes,2018,
Paulo Lopes,2002,
Paulo Lopes,2099,
Lisandro López,2019,546.0
Lisandro López,2018,882.0
Lisandro López,2018,1057.0
Lisandro López,2017,1262.0
Lisandro López,2013,1763.0
Jardel,2021,
Luisão,2018,278.0
César Martins,2018,332.0
César Martins,2017,520.0
César Martins,2017,710.0
César Martins,2016,1080.0
César Martins,2015,1444.0
Victor Lindelöf,2017,1460.0
Loris Benito,2015,1460.0
Eliseu,2018,
Maximiliano Pereira,2015,
André Almeida,2022,
André Almeida,2011,4379.0
Sílvio,2015,0.0
Enzo Pérez,2014,545.0
Enzo Pérez,2011,1603.0
Andreas Samaris,2021,668.0
Ljubomir Fejsa,2020,279.0
Ljubomir Fejsa,2019,518.0
Bryan Cristante,2018,364.0
