"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Bruno Varela","2020","Vit. Guimarães",2022-06-30,680
"Bruno Varela","2019","Ajax",2022-06-30,1095
"Bruno Varela","2018","Ajax",2022-06-30,1248
"Bruno Varela","2016","Vitória Setúbal",2018-06-30,729
"Júlio César","2017","Without Club",2018-06-30,214
"Artur Moraes","2015","Osmanlispor",NA,NA
"Paulo Lopes","2018","Retired",NA,NA
"Paulo Lopes","2002","Salgueiros",NA,NA
"Paulo Lopes","2099","Gil Vicente",NA,NA
"Lisandro López","2019","Boca Juniors",2021-06-30,546
"Lisandro López","2018","Boca Juniors",2021-06-30,882
"Lisandro López","2018","Genoa",2021-06-30,1057
"Lisandro López","2017","Inter",2021-06-30,1262
"Lisandro López","2013","Getafe",2018-06-30,1763
"Jardel","2021","Without Club",NA,NA
"Luisão","2018","Retired",2019-06-30,278
"César Martins","2018","Santa Clara",2019-06-30,332
"César Martins","2017","Juventude",2019-06-30,520
"César Martins","2017","Vitória Setúbal",2019-06-30,710
"César Martins","2016","Nacional",2019-06-30,1080
"César Martins","2015","Flamengo",2019-06-30,1444
"Victor Lindelöf","2017","Man Utd",2021-06-30,1460
"Loris Benito","2015","BSC Young Boys",2019-06-30,1460
"Eliseu","2018","Retired",NA,NA
"Maximiliano Pereira","2015","FC Porto",NA,NA
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"Sílvio","2015","Atlético Madrid",2016-06-30,0
"Enzo Pérez","2014","Valencia",2016-06-30,545
"Enzo Pérez","2011","Estudiantes",2016-06-30,1603
"Andreas Samaris","2021","Without Club",2023-06-30,668
"Ljubomir Fejsa","2020","Al-Ahli SFC",2021-06-30,279
"Ljubomir Fejsa","2019","Alavés",2021-06-30,518
"Bryan Cristante","2018","Atalanta BC",2019-06-30,364
"Bryan Cristante","2016","Atalanta BC",2019-06-30,884
"Bryan Cristante","2016","Pescara",2019-06-30,1094
"Bryan Cristante","2015","US Palermo",2019-06-30,1269
"Rúben Amorim","2016","Retired",2018-06-30,452
"Rúben Amorim","2015","Al-Wakrah SC",NA,NA
"Rúben Amorim","2011","SC Braga",2018-06-30,2372
"Renato Sanches","2016","Bayern Munich",2021-06-30,1825
"Miralem Sulejmani","2015","BSC Young Boys",2018-06-30,1095
"Nico Gaitán","2016","Atlético Madrid",2019-06-30,1094
"Talisca","2018","GZ Evergrande",2020-06-30,546
"Talisca","2018","GZ Evergrande",2020-06-30,730
"Talisca","2016","Besiktas",2019-06-30,1041
"Pizzi","2022","Al-Wahda FC",2023-06-30,338
"Pizzi","2021","Basaksehir",2023-06-30,507
"Pizzi","2013","Espanyol",2023-06-30,3624
"Hany Mukhtar","2017","Bröndby IF",2020-06-30,1095
"Hany Mukhtar","2016","Bröndby IF",2020-06-30,1441
"Hany Mukhtar","2015","RB Salzburg",2020-06-30,1768
"Ola John","2017","Benfica B",2019-06-30,729
"Ola John","2016","Dep. La Coruña",2019-06-30,898
"Ola John","2016","Wolves",2019-06-30,1041
"Ola John","2015","Reading",2018-06-30,1033
"Ola John","2013","Hamburger SV",2019-06-30,1990
"Bebé","2016","SD Eibar",2018-06-30,718
"Bebé","2015","Rayo Vallecano",2018-06-30,1086
"Bebé","2014","Córdoba CF",2018-06-30,1269
"Eduardo Salvio","2019","Boca Juniors",2022-06-30,1078
"Eduardo Salvio","2010","Atlético Madrid",2011-06-30,0
"Hélder Costa","2016","Wolves",2018-06-30,516
"Hélder Costa","2016","Wolves",NA,NA
"Hélder Costa","2015","Monaco",NA,NA
"Jonas","2019","Retired",2020-06-30,357
"Gonçalo Guedes","2022","Wolves",2023-06-30,0
"Gonçalo Guedes","2016","Paris SG",2021-06-30,1617
"Lima","2015","Al-Ahli (UAE)",2016-06-30,342
"Nélson Oliveira","2016","Norwich",2018-06-30,669
"Nélson Oliveira","2015","Nottm Forest",2018-06-30,1033
"Nélson Oliveira","2014","Swansea",2018-06-30,1276
"Nélson Oliveira","2013","Rennes",NA,NA
"Nélson Oliveira","2012","Dep. La Coruña",NA,NA
"Nélson Oliveira","2010","Paços Ferreira",NA,NA
"Nélson Oliveira","2009","Rio Ave FC",NA,NA
"Derley","2017","Desportivo Aves",2018-06-30,331
"Derley","2016","Chiapas FC",2018-06-30,717
"Derley","2015","Kayserispor",2018-06-30,1079
"Jonathan Rodríguez","2015","Peñarol",2017-06-30,365
"Jonathan Rodríguez","2015","Dep. La Coruña",2017-06-30,676
"Rui Fonte","2016","SC Braga",2018-06-30,668
"Franco Jara","2014","Olympiacos",NA,NA
"Franco Jara","2013","Estudiantes",2016-06-30,1055
"Franco Jara","2012","San Lorenzo",2016-06-30,1435
"Franco Jara","2011","Granada CF",NA,NA
