player_name,age,position,club_involved_name,transfer_period,fee_cleaned,year,cum_MP,cum_Min,cum_Gls,cum_Ast,cum_PK,cum_CrdY,cum_CrdR,cum_GlsxMin,cum_AstxMin,cum_G+AxMin,days_remaining
Roman Yaremchuk,26.0,Centre-Forward,Club Brugge,Summer,16000000.0,2022,23.0,1068.0,6.0,3.0,0.0,2.0,0.0,0.51,0.25,0.76,1401.0
Gedson Fernandes,23.0,Central Midfield,Besiktas,Summer,6000000.0,2022,2.771849806530174,48.09850360191236,0.0,0.0023695269224367,0.0,0.0023695269224367,0.0,0.0,0.0002014097884071,0.0002014097884071,1095.0
Carlos Vinícius,27.0,Centre-Forward,Fulham,Summer,5000000.0,2022,1.3342839319133766,27.26289991979324,0.1941003475626058,0.0539167632118349,0.0,0.0215667052847339,0.0,0.0098128509045539,0.0026958381605917,0.0125086890651457,668.0
David Luiz,23.0,Centre-Back,Chelsea,Winter,25000000.0,2010,17.295719986363203,1554.795109802026,0.315284160753976,1.0859589952564954,0.0,5.277048612687384,0.0,0.0110839027942081,0.0602618229334956,0.0713457257277038,1611.0
Bruno César,24.0,Central Midfield,Al-Ahli SFC,Winter,5000000.0,2012,7.981981981981981,364.21621621621614,0.8918918918918918,0.1981981981981981,0.0,2.396396396396396,0.0,0.0485585585585585,0.0109009009009008,0.0594594594594594,1825.0
Nemanja Matić,25.0,Defensive Midfield,Chelsea,Winter,25000000.0,2013,15.197932448088403,1326.3258176633096,2.087247125924605,0.0,0.0,6.196060957133945,0.0980304785669726,0.1465199180108724,0.0,0.1465199180108724,1627.0
Enzo Pérez,28.0,Defensive Midfield,Valencia,Winter,25000000.0,2014,12.838165405797062,1065.347059142929,1.3248699742129246,2.225770875113825,0.9880446596186148,5.1899048539696695,0.0107705769201668,0.1056388865893855,0.1950827420642656,0.30170077201003,545.0
Franco Jara,26.0,Centre-Forward,Olympiacos,Winter,1500000.0,2014,1.7844709515831223,94.58013518623518,0.0007818419916434,0.0013149160768549,0.0,0.8904052547656686,0.0,6.906270926183893e-05,0.0011963367081223,0.0012653994173841,1761.0
Gonçalo Guedes,20.0,Left Winger,Paris SG,Winter,30000000.0,2016,16.077444078067906,1151.1309152481954,2.076463773282238,3.076463773282238,0.0,0.9019695214330272,0.0,0.1621067641030211,0.2674672489082969,0.429574013011318,1617.0
Nicolás Castillo,25.0,Centre-Forward,América,Winter,7130000.0,2018,4.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.0
Raúl de Tomás,25.0,Centre-Forward,Espanyol,Winter,22500000.0,2019,7.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634.0
Enzo Fernández,22.0,Central Midfield,Chelsea,Winter,121000000.0,2022,22.0,1809.0,1.0,6.0,0.0,6.0,0.0,0.05,0.3,0.35,1441.0
Diogo Gonçalves,25.0,Right Winger,FC Copenhagen,Winter,2000000.0,2022,14.937975798308342,401.5037406829903,0.0107690190779742,0.1517596023903929,0.0,0.5433602961349095,0.0979001734361291,0.0008615215262379,0.0138865446625609,0.0147480661887988,907.0
Émerson Conceição,26.0,Left-Back,Trabzonspor,Summer,1600000.0,2012,24.0,2093.0,0.0,1.0,0.0,6.0,1.0,0.0,0.04,0.04,1611.0
Lazar Markovic,20.0,Right Winger,Liverpool,Summer,25000000.0,2014,26.0,1659.0,5.0,5.0,0.0,2.0,0.0,0.27,0.27,0.54,1446.0
Mehdi Carcela-González,27.0,Right Winger,Granada CF,Summer,4000000.0,2016,20.0,822.0,2.0,3.0,0.0,1.0,0.0,0.22,0.33,0.55,1033.0
Konstantinos Mitroglou,29.0,Centre-Forward,Marseille,Summer,15000000.0,2017,28.396396396396398,2231.7387387387384,16.396396396396394,3.0,0.099099099099099,2.297297297297297,0.0,0.6578378378378378,0.1199999999999999,0.7778378378378377,1034.0
